,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,2dmmql8_c,2dmmql8_c,dha_c,2dmmql8_c,2dmmql8_c,2dmmql8_c,2dmmql8_c,2dmmql8_c,2dmmql8_c,2dmmql8_c
1,2dmmq8_c,12mttritec2eACP_c,2dmmq8_c,12mttritec2eACP_c,dha_c,dha_c,12mttritec2eACP_c,12mttritec2eACP_c,12mttritec2eACP_c,12mttritec2eACP_c
2,glypro_c,dha_c,ppa_c,dha_c,2hymeph_c,pppi_c,dha_c,dha_c,dha_c,dha_c
3,ppa_c,pppi_c,cgly_c,2hymeph_c,pppi_c,mal_L_e,2hymeph_c,2hymeph_c,pppi_c,pppi_c
4,cgly_c,2dmmq8_c,gal_c,pppi_c,quln_c,2dmmq8_c,pppi_c,pppi_c,2dmmq8_c,2dmmq8_c
5,gal_c,acACP_c,dadp_c,uaaAgtla_c,np2msucc_c,glypro_c,2dmmq8_c,2dmmq8_c,quln_c,quln_c
6,dadp_c,quln_c,ncam_c,2dmmq8_c,glypro_c,cgly_c,quln_c,quln_c,acACP_c,ppa_c
7,focytC_c,ppa_c,gsn_c,quln_c,ppa_c,gal_c,ppa_c,ppa_c,ppa_c,glypro_c
8,ncam_c,gal_c,1ipdecg3p_c,glypro_c,cgly_c,gggagicolipa_c,glypro_c,glypro_c,cgly_c,gal_c
9,gsn_c,8mtnon2eACP_c,acald_c,gal_c,gal_c,dadp_c,gal_c,gal_c,gal_c,8mtnon2eACP_c
10,acald_c,2omhmbl_c,g3pg_c,8mtnon2eACP_c,d5kg_c,adphep_DD_c,8mtnon2eACP_c,8mtnon2eACP_c,8mtnon2eACP_c,dcaACP_c
11,3c2hmp_c,dcaACP_c,xtsn_c,ps120_c,ps120_c,ncam_c,ps120_c,hspg_degr_13_e,ps120_c,gggagicolipa_c
12,g3pg_c,gggagicolipa_c,alaala_c,2omhmbl_c,psi16_c,gsn_c,dcaACP_c,ps120_c,dcaACP_c,dadp_c
13,xtsn_c,dadp_c,dhap_c,dadp_c,dadp_c,5mdru1p_c,gggagicolipa_c,dcaACP_c,gggagicolipa_c,gsn_e
14,trp_L_c,gsn_e,malthx_c,focytC_c,ncam_c,prfp_c,psi16_c,gggagicolipa_c,psi16_c,adphep_DD_c
15,alaala_c,adphep_DD_c,clpnai17_c,ncam_c,gsn_c,1ipdecg3p_c,dadp_c,psi16_c,dadp_c,focytC_c
16,dhap_c,focytC_c,3psme_c,gsn_c,prfp_c,acald_c,gsn_e,dadp_c,gsn_e,ncam_c
17,malthx_c,ncam_c,h2o2_c,3mbutACP_c,1ipdecg3p_c,g3pg_c,adphep_DD_c,gsn_e,pydx_c,gsn_c
18,clpnai17_c,gsn_c,orot_c,prfp_c,acald_c,xtsn_c,focytC_c,adphep_DD_c,adphep_DD_c,dad_2_e
19,3psme_c,dad_2_e,2dda7p_c,1ipdecg3p_c,3c2hmp_c,trp_L_c,ncam_c,focytC_c,ncam_c,prfp_c
20,h2o2_c,3mbutACP_c,cytd_c,acald_c,g3pg_c,alaala_c,gsn_c,ncam_c,gsn_c,acald_c
21,orot_c,1ipdecg3p_c,clpni16_c,3c2hmp_c,xtsn_c,dhap_c,dad_2_e,gsn_c,dad_2_e,3c2hmp_c
22,his_L_c,acald_c,cdpdihdecg_c,g3pg_c,trp_L_c,malthx_c,prfp_c,dad_2_e,prfp_c,xtsn_c
23,2dda7p_c,xtsn_c,dhf_c,xtsn_c,dhap_c,clpnai17_c,acald_c,prfp_c,acald_c,trp_L_c
24,cytd_c,alaala_c,ocdcea_c,trp_L_c,alaala_c,3psme_c,3c2hmp_c,acald_c,3c2hmp_c,alaala_c
25,pmtcoa_c,dhap_c,gdp_c,dhap_c,fdxrd_c,2aobut_c,xtsn_c,3c2hmp_c,xtsn_c,dhap_c
26,clpni16_c,malthx_c,ihdcoa_c,alaala_c,malthx_c,h2o2_c,trp_L_c,xtsn_c,trp_L_c,fdxrd_c
27,cdpdihdecg_c,fdxrd_c,pgp161_c,fdxrd_c,clpnai17_c,his_L_c,alaala_c,trp_L_c,alaala_c,alpro_c
28,dhf_c,alpro_c,dad_2_c,clpnai17_c,3psme_c,2dda7p_c,dhap_c,alaala_c,dhap_c,malthx_c
29,HC01435_c,clpnai17_c,pgp141_c,3psme_c,2aobut_c,hhlipa_c,teich_45_BS_c,dhap_c,fdxrd_c,clpnai17_c
30,sl2a6o_c,3psme_c,3dhsk_c,h2o2_c,h2o2_c,cytd_c,fdxrd_c,teich_45_BS_c,alpro_c,3psme_c
31,ocdcea_c,2aobut_c,hethmpp_c,orot_c,orot_c,pmtcoa_c,alpro_c,fdxrd_c,malthx_c,2aobut_c
32,i16tca1_c,h2o2_c,nicrns_c,his_L_c,his_L_c,urate_c,malthx_c,alpro_c,clpnai17_c,h2o2_c
33,23dhmp_c,orot_c,h2mb4p_c,2dda7p_c,2dda7p_c,cdpdihdecg_c,clpnai17_c,malthx_c,3psme_c,orot_c
34,gdp_c,hhlipa_c,glc_D_c,12m3otridecACP_c,cytd_c,dhf_c,3psme_c,clpnai17_c,2aobut_c,his_L_c
35,pgp161_c,4mhexACP_c,2dr1p_c,4mhexACP_c,pmtcoa_c,clpni16_c,2aobut_c,3psme_c,h2o2_c,2dda7p_c
36,lald_L_c,12m3otridecACP_c,pgpi15_c,clpni16_c,urate_c,3opalmACP_c,h2o2_c,2aobut_c,orot_c,hhlipa_c
37,dad_2_c,pmtcoa_c,dxyl5p_c,cdpdihdecg_c,cdpdihdecg_c,ocdcea_c,orot_c,h2o2_c,his_L_c,glu5p_c
38,acorn_c,cytd_c,air_c,8m3hdcaACP_c,dhf_c,kdo2lipid4_c,his_L_c,orot_c,2dda7p_c,cytd_c
