,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,glutrna_c,12mtridecACP_c,3hbcoa_R_c,1tdecg3p_c,ficytC_c,3hbcoa_R_c,2mmal_c,2mmal_c,4pasp_c,altrn_c
1,trnaglu_c,fa1_c,3hbcoa_c,3hhdcoa_c,focytC_c,3hbcoa_c,2mmale_c,2mmale_c,aspsa_c,galur_c
2,h2_c,itdcoa_c,3hhcoa_c,3ohdcoa_c,lac_L_c,3hhcoa_c,e3mmal_c,e3mmal_c,hom_L_c,galur_e
3,h2_e,asn_L_c,3ohcoa_c,hdd2coa_c,lac_L_e,3ohcoa_c,alagln_c,4pasp_c,h2s_c,tagur_c
4,cellb_c,asn_L_e,aacoa_c,myrsACP_c,12mtridecACP_c,aacoa_c,gln_L_c,aspsa_c,h2s_e,fruur_c
5,glc_bD_c,glyasn_c,b2coa_c,tdcoa_c,fa1_c,b2coa_c,glygln_c,hom_L_c,2mpropACP_c,glcur_c
6,rib_D_c,alahis_c,btcoa_c,4abut_c,itdcoa_c,btcoa_c,fcl_L_c,pydx_c,ibcoa_c,glcur_e
7,rib_D_e,his_L_c,fdxox_c,4abut_e,13mmyrsACP_c,but_c,fuc_L_c,pydx_e,3mbutACP_c,mana_c
8,fa1_c,his_L_e,fdxrd_c,4abutn_c,fa3_c,but_e,fuc_L_e,glu5p_c,ivcoa_c,rml_c
9,itdcoa_c,apoC_Lys_btn_c,ficytC_c,asn_L_c,ipdcoa_c,butpi_c,pydx_c,glu5sa_c,ddca_c,rmn_c
10,fa11_c,btn_co2_c,focytC_c,asn_L_e,12mmyrsACP_c,fdxox_c,pydx_e,2mpropACP_c,ddca_e,rmn_e
11,ihpdcoa_c,hco3_c,lac_L_c,glyasn_c,aipdcoa_c,fdxrd_c,3mbutACP_c,ibcoa_c,2mbcoa_c,xyl_D_c
12,aipdcoa_c,ocdcea_c,lac_L_e,4pasp_c,fa4_c,succoa_c,ivcoa_c,2mbcoa_c,2mbutACP_c,xyl_D_e
13,fa4_c,ocdcea_e,4pasp_c,aspsa_c,4abut_c,2ippm_c,2mbcoa_c,2mbutACP_c,galt_e,xylu_D_c
14,fa3_c,odecoa_c,aspsa_c,hom_L_c,4abut_e,3c2hmp_c,2mbutACP_c,3mbutACP_c,core5_e,4pasp_c
15,ipdcoa_c,alagln_c,hom_L_c,glu5p_c,4abutn_c,3c3hmp_c,2mpropACP_c,ivcoa_c,mi4p_D_c,aspsa_c
16,aihpdcoa_c,gln_L_c,2maacoa_c,glu5sa_c,4pasp_c,3c4mop_c,ibcoa_c,lac_D_c,mi3p_D_c,hom_L_c
17,fa12_c,glygln_c,3hmbcoa_c,ribflv_c,aspsa_c,3mob_c,pydam_c,lac_D_e,tchola_e,apoC_Lys_btn_c
18,fa6_c,4hbz_c,glutrna_c,ribflv_e,hom_L_c,val_L_c,pydam_e,cytd_c,gchola_e,btn_co2_c
19,ihdcoa_c,4hbz_e,trnaglu_c,12mtridecACP_c,2mpropACP_c,val_L_e,pydxn_c,cytd_e,btamp_c,hco3_c
20,ribflv_c,trp_L_c,2mbcoa_c,itdcoa_c,ibcoa_c,altrn_c,pydxn_e,pydam_c,btn_e,pydx_c
21,ribflv_e,trp_L_e,ibcoa_c,ocdcaACP_c,pydx_c,galur_c,glu5p_c,pydam_e,dgchol_e,pydx_e
22,o2_c,ribflv_c,cpppg3_c,stcoa_c,pydx_e,galur_e,glu5sa_c,pydxn_c,tdchola_e,3mbutACP_c
23,o2_e,ribflv_e,2odecg3p_c,palmACP_c,2mbcoa_c,tagur_c,lac_D_c,pydxn_e,spmd_e,ivcoa_c
24,glu5p_c,lanost_c,2odec11eg3p_c,pmtcoa_c,2mbutACP_c,13mmyrsACP_c,lac_D_e,glutrna_c,ptrc_e,2mbcoa_c
25,glu5sa_c,lanost_e,cobalt2_e,fol_c,cobalt2_c,fa3_c,glutrna_c,trnaglu_c,duri_e,2mbutACP_c
26,xyl_D_c,3dhsk_c,4mhetz_c,fol_e,cobalt2_e,ipdcoa_c,trnaglu_c,ddca_c,ura_e,2mpropACP_c
27,xylu_D_c,skm_c,2hdec9eg3p_c,lanost_c,glutrna_c,14mpalmACP_c,gam_c,ddca_e,adprib_c,ibcoa_c
28,arbt_e,hdeACP_c,e4hglu_c,lanost_e,trnaglu_c,aihpdcoa_c,gam_e,gthrd_c,rib_D_c,rib_D_c
29,glyphe_e,tdeACP_c,2oph_c,4hbz_c,glu5p_c,fa12_c,cytd_c,mi4p_D_c,2ddglcn_c,rib_D_e
30,man1p_c,l2a6o_c,pydx_c,4hbz_e,glu5sa_c,12mtridecACP_c,cytd_e,mi3p_D_c,drib_c,pydam_c
31,2odec11eg3p_c,octeACP_c,2hdecg3p_c,no3_e,core5_e,fa1_c,ddca_c,hdeACP_c,2ameph_c,pydam_e
32,fe3_e,3a2opp_c,1agpe160_c,acgam_e,3ophb_c,itdcoa_c,ddca_e,12dgr161_c,man_e,pydxn_c
33,cit_e,e4hglu_c,2agpe161_c,e4hglu_c,glyphe_e,15mpalmACP_c,galt_e,1hdec9eg3p_c,glc_D_e,pydxn_e
34,fe2_e,4r5au_c,1agpe181_c,2odec11eg3p_c,2odec11eg3p_c,fa11_c,gthrd_c,1odec11eg3p_c,sucr_e,lac_D_c
35,2hdec9eg3p_c,6mheptACP_c,2agpe181_c,arbt_e,cpppg3_c,ihpdcoa_c,hdeACP_c,octeACP_c,malttr_c,lac_D_e
36,1agpe161_c,2ahhmd_c,2agpe160_c,acACP_c,octeACP_c,12mmyrsACP_c,1hdec9eg3p_c,12dgr181_c,cellb_e,ddca_c
37,1agpe181_c,4ahmmp_c,1agpe161_c,butACP_c,4mhetz_c,aipdcoa_c,pheme_e,fe3_e,fol_e,ddca_e
38,2agpe181_c,thm_e,1agpe180_c,2odecg3p_c,btamp_c,fa4_c,1odec11eg3p_c,fe2_e,thm_c,cobalt2_c
39,2agpe161_c,10mundecACP_c,2agpe180_c,tre_e,btn_e,4pasp_c,octeACP_c,btamp_c,glycys_c,cobalt2_e
