,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,dcmp[c],ptrc[c],db4p[c],s17bp[c],dcmp[c],dcmp[c],dcmp[c],dcmp[c],dcmp[c],dcmp[c]
1,dcyt[c],db4p[c],stcoa[c],dhap[c],dcyt[c],dcyt[c],dcyt[c],dcyt[c],dcyt[c],dcyt[c]
2,s17bp[c],r5p[c],pa180[c],4mpentACP[c],s17bp[c],stcoa[c],s17bp[c],s17bp[c],s17bp[c],s17bp[c]
3,dhap[c],gln_L[c],r5p[c],cys_L[c],dhap[c],pa180[c],dhap[c],dhap[c],dhap[c],dhap[c]
4,cys_L[c],alagln[c],gln_L[c],tsul[c],4mpentACP[c],r5p[c],4mpentACP[c],4mpentACP[c],4mpentACP[c],4mpentACP[c]
5,tsul[c],glu_D[c],alagln[c],acamoxm[c],raffin[c],alagln[c],raffin[c],raffin[c],raffin[c],raffin[c]
6,so4[c],s17bp[c],glu_D[c],so4[c],cys_L[c],glu_D[c],cys_L[c],cys_L[c],cys_L[c],cys_L[c]
7,ttdcea[c],dhap[c],glytyr[c],sucsal[c],tsul[c],glytyr[c],tsul[c],tsul[c],tsul[c],tsul[c]
8,k[c],2ahhmp[c],s17bp[c],ttdcea[c],so4[c],s17bp[c],so4[c],so4[c],so4[c],so4[c]
9,udpg[c],2ommb[c],dhap[c],k[c],sucsal[c],dhap[c],hexACP[c],hexACP[c],hexACP[c],hexACP[c]
10,zn2[c],ocmhmxbq[c],val_L[c],udpg[c],ttdcea[c],4mpentACP[c],zn2[c],k[c],k[c],pa140[c]
11,g3p[c],4mpentACP[c],pgpai15[c],pa140[c],diglcpgi15[c],pai16[c],34hpp[c],udpg[c],udpg[c],zn2[c]
12,dadp[c],pphn[c],pgai15[c],zn2[c],zn2[c],val_L[c],g3p[c],pa140[c],pa140[c],34hpp[c]
13,dgtp[c],2omph[c],na1[c],g3p[c],34hpp[c],pgpai15[c],dadp[c],zn2[c],zn2[c],g3p[c]
14,nicrnt[c],na1[c],2dhp[c],dadp[c],g3p[c],pgai15[c],3hpalmACP[c],34hpp[c],34hpp[c],dadp[c]
15,dnad[c],lys_L[c],pant_R[c],3hpalmACP[c],dadp[c],2dhp[c],uacgam[c],g3p[c],g3p[c],3hpalmACP[c]
16,tyr_L[c],cys_L[c],lys_L[c],dgtp[c],3hpalmACP[c],pant_R[c],acmana[c],dadp[c],dadp[c],acmana[c]
17,fad[c],tsul[c],raffin[c],nicrnt[c],dgtp[c],lys_L[c],dgtp[c],3hpalmACP[c],3hpalmACP[c],dgtp[c]
18,udp[c],clpni17[c],cys_L[c],dnad[c],nicrnt[c],cys_L[c],gam[c],acmana[c],acmana[c],nicrnt[c]
19,myrstca1[c],pgi17[c],tsul[c],adocbl[c],dnad[c],tsul[c],nicrnt[c],dgtp[c],dgtp[c],dnad[c]
20,cdpdihdecg[c],apoC_Lys_btn[c],clpni17[c],tyr_L[c],tyr_L[c],clpni17[c],dnad[c],gam[c],nicrnt[c],tyr_L[c]
21,pgpi16[c],cob[c],pgi17[c],fad[c],4r5au[c],pgi17[c],tyr_L[c],nicrnt[c],dnad[c],4r5au[c]
22,dhor_S[c],comSScob[c],rib_D[c],nmn[c],fad[c],histl_L[c],4r5au[c],dnad[c],tyr_L[c],fad[c]
23,q8h2[c],ps141[c],g3pg[c],nh4[c],adcobhex[c],rib_D[c],fad[c],tyr_L[c],4r5au[c],adcobhex[c]
24,dhlpro[c],pe141[c],ihdcoa[c],4m3ohexACP[c],adocbip[c],g3pg[c],myrstca1[c],4r5au[c],fad[c],adocbip[c]
25,cl[c],ihdcoa[c],1hdecg3p[c],agdpcbi[c],nmn[c],ihdcoa[c],ddcaACP[c],fad[c],adcobhex[c],myrstca1[c]
26,dhlam[c],1hdecg3p[c],mql8[c],4abut[c],succ[c],1hdecg3p[c],4m3ohexACP[c],adcobhex[c],adocbip[c],ddcaACP[c]
27,ocdcaACP[c],clpn180[c],mqn8[c],cdpdihdecg[c],acac[c],mql8[c],4abut[c],adocbip[c],myrstca1[c],agdpcbi[c]
28,pa180[c],mql8[c],glyb[c],pgpi16[c],4m3ohexACP[c],mqn8[c],cdpdihdecg[c],myrstca1[c],ddcaACP[c],4m3ohexACP[c]
29,dkdi[c],mqn8[c],so4[c],ai17tcaacgam[c],agdpcbi[c],so4[c],pgpi16[c],ddcaACP[c],agdpcbi[c],4abut[c]
30,5dgclur[c],so4[c],1agpg120[c],m12dsglyc[c],4abut[c],1agpg120[c],3ogACPm[c],agdpcbi[c],4m3ohexACP[c],3ogACPm[c]
31,trdox[c],hexACP[c],for[c],5m3ohexACP[c],cdpdihdecg[c],ttdcea[c],3hgACPm[c],4m3ohexACP[c],3ogACPm[c],3hgACPm[c]
32,oaa[c],pe120[c],ttdcea[c],dhor_S[c],pgpi16[c],gal1p[c],5m3ohexACP[c],cdpdihdecg[c],3hgACPm[c],5m3ohexACP[c]
33,gln_L[c],succoa[c],gal1p[c],q8h2[c],5m3ohexACP[c],udpgal[c],dhor_S[c],pgpi16[c],5m3ohexACP[c],dhor_S[c]
34,fa6[c],fdxox[c],udpgal[c],cl[c],dhor_S[c],succoa[c],q8h2[c],3ogACPm[c],dhor_S[c],q8h2[c]
35,ihdcoa[c],10fthf[c],aspsa[c],dhlam[c],q8h2[c],fdxox[c],dhlpro[c],3hgACPm[c],q8h2[c],dhlpro[c]
36,glu5sa[c],10m3oundecACP[c],dmpp[c],ocdcaACP[c],cl[c],10m3oundecACP[c],cl[c],5m3ohexACP[c],dhlpro[c],cl[c]
37,dtdp[c],aspsa[c],grdp[c],pa180[c],2dmmq8[c],aspsa[c],ptrc[c],dhor_S[c],cl[c],ptrc[c]
38,pro_L[c],dmpp[c],itp[c],gthrd[c],glx[c],dmpp[c],dhlam[c],q8h2[c],ptrc[c],dhlam[c]
39,trp_L[c],grdp[c],glyleu[c],12m3otridecACP[c],ptrc[c],grdp[c],ocdcaACP[c],dhlpro[c],dhlam[c],arab_L[c]
40,2agpg140[c],itp[c],3hdecACP[c],12m3htridecACP[c],dhlam[c],glyleu[c],pa180[c],cl[c],ocdcaACP[c],ocdcaACP[c]
41,ttdca[c],val_L[c],ins[c],trdox[c],ocdcaACP[c],itp[c],butpi[c],ptrc[c],pa180[c],pa180[c]
42,2obut[c],3mob[c],hxan[c],gln_L[c],pa180[c],3mob[c],btcoa[c],dhlam[c],butpi[c],butpi[c]
43,glu_D[c],pei17[c],8m3odcaACP[c],oaa[c],diglcpg160[c],3hdecACP[c],gicolipa[c],ocdcaACP[c],btcoa[c],btcoa[c]
44,PGP[c],8mnonACP[c],succ[c],peai17[c],dkdi[c],8mnonACP[c],cmpacna[c],pa180[c],gicolipa[c],gicolipa[c]
45,g6p_B[c],3hdecACP[c],q8h2[c],ac[c],5dgclur[c],ins[c],12m3otridecACP[c],butpi[c],12m3otridecACP[c],12m3otridecACP[c]
46,utp[c],succ[c],udpg[c],glu5sa[c],12m3otridecACP[c],hxan[c],12m3htridecACP[c],btcoa[c],12m3htridecACP[c],12m3htridecACP[c]
47,xan[c],q8h2[c],nac[c],2ombzl[c],12m3htridecACP[c],succ[c],trdox[c],gicolipa[c],trdox[c],trdox[c]
48,2ins[c],ins[c],nicrnt[c],pheme[c],trdox[c],q8h2[c],gln_L[c],12m3otridecACP[c],oaa[c],oaa[c]
49,camp[c],hxan[c],dttp[c],acbdma14gapuc[c],melib[c],8m3odcaACP[c],oaa[c],12m3htridecACP[c],val_L[c],val_L[c]
50,thf[c],8m3odcaACP[c],alaasp[c],cmp[c],oaa[c],nac[c],i16tcaglc[c],trdox[c],l2a6o[c],i16tcaglc[c]
51,uaaAgtla[c],4hbz[c],zn2[c],dtdp[c],l2a6o[c],nicrnt[c],i16tca1[c],oaa[c],accoa[c],i16tca1[c]
52,asn_L[c],dttp[c],g3p[c],3ohcoa[c],fa6[c],pa140[c],l2a6o[c],val_L[c],n8aspmd[c],l2a6o[c]
