,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,fuc_L[e],glu_L[e],asp_L[e],so4[e],raffin[e],asp_L[e],fuc_L[e],fuc_L[e],fuc_L[e],fuc_L[e]
1,f1a_rl[e],so4[e],glu_L[e],salcn[e],acgam[e],so4[e],f1a_rl[e],raffin[e],f1a_rl[e],f1a_rl[e]
2,so4[e],indole[e],raffin[e],cholate[e],so4[e],indole[e],raffin[e],acgam[e],raffin[e],raffin[e]
3,acnam[e],cd2[e],glyb[e],pi[e],fru[e],cd2[e],acgam[e],so4[e],acgam[e],acgam[e]
4,fru[e],lac_D[e],so4[e],urea[e],gal[e],malt[e],so4[e],fru[e],so4[e],so4[e]
5,gal[e],din[e],indole[e],na1[e],salcn[e],fru[e],acnam[e],gal[e],acnam[e],acnam[e]
6,salcn[e],fol[e],cd2[e],arg_L[e],h2o[e],salcn[e],fru[e],salcn[e],gal[e],gal[e]
7,h2o[e],met_L[e],malt[e],spmd[e],melib[e],chtbs[e],gal[e],din[e],h2o[e],h2o[e]
8,sT_antigen_rl[e],dad_2[e],fru[e],pb[e],glygln[e],rib_D[e],salcn[e],hspg_degr_4[e],sT_antigen_rl[e],arab_L[e]
9,csn[e],h2o[e],Lcyst[e],cu2[e],pydam[e],thm[e],sT_antigen_rl[e],hspg_degr_5[e],din[e],sT_antigen_rl[e]
10,glygln[e],gly[e],lac_D[e],val_L[e],chol[e],csn[e],din[e],pydam[e],ncam[e],din[e]
11,drib[e],mg2[e],gbbtn[e],2dmmq8[e],pi[e],alathr[e],pydam[e],hspg_degr_11[e],csn[e],pydam[e]
12,pi[e],ribflv[e],tma[e],cl[e],urea[e],acnam[e],pi[e],hspg_degr_12[e],pi[e],drib[e]
13,urea[e],mn2[e],rib_D[e],xyl_D[e],na1[e],gly[e],urea[e],pi[e],urea[e],pi[e]
14,na1[e],ser_L[e],alathr[e],hg2[e],malt[e],galur[e],na1[e],hspg_degr_8[e],na1[e],urea[e]
15,arg_L[e],uri[e],glygln[e],gam[e],spmd[e],glygln[e],arg_L[e],urea[e],arg_L[e],na1[e]
16,malt[e],cu2[e],mg2[e],co2[e],pb[e],mg2[e],malt[e],levantttr[e],malt[e],arg_L[e]
