,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.6781437125748503,0.7724550898203593,0.7934131736526946,0.8802395209580839,0.8338323353293413,0.8607784431137725,0.8488023952095808,0.8023952095808383,0.8458083832335329
Alistipes_putredinis_DSM_17216,0.6565217391304348,1.0,0.7028985507246377,0.8202898550724638,0.8623188405797102,0.836231884057971,0.927536231884058,0.946376811594203,0.927536231884058,0.9318840579710145
Anaerococcus_hydrogenalis_DSM_7454,0.7713004484304933,0.7249626307922272,1.0,0.8849028400597907,0.9461883408071748,0.898355754857997,0.8221225710014948,0.8146487294469357,0.7787742899850523,0.8026905829596412
Anaerofustis_stercorihominis_DSM_17244,0.6567534076827757,0.701363073110285,0.7335811648079306,1.0,0.9107806691449815,0.8364312267657993,0.7967781908302355,0.8128872366790583,0.781908302354399,0.8042131350681536
Anaerostipes_caccae_DSM_14662,0.6454445664105378,0.6531284302963776,0.6948408342480791,0.8068057080131723,1.0,0.8221734357848518,0.7892425905598244,0.8155872667398463,0.7694840834248079,0.8079034028540066
Anaerotruncus_colihominis_DSM_17241,0.6514619883040935,0.6748538011695906,0.7029239766081872,0.7894736842105263,0.8760233918128655,1.0,0.816374269005848,0.8619883040935673,0.7988304093567251,0.8421052631578947
Bacteroides_caccae_ATCC_43185,0.6482525366403608,0.7215332581736189,0.6200676437429538,0.7249154453213078,0.8105975197294251,0.7869222096956031,1.0,0.9549041713641488,0.8917700112739572,0.95152198421646
Bacteroides_cellulosilyticus_DSM_14838,0.6149674620390455,0.7082429501084598,0.5911062906724512,0.7114967462039046,0.8058568329718004,0.7993492407809111,0.9186550976138829,1.0,0.8904555314533622,0.9446854663774403
Bacteroides_coprophilus_DSM_18228,0.638095238095238,0.7619047619047619,0.6202380952380953,0.7511904761904762,0.8345238095238096,0.8130952380952381,0.9416666666666667,0.9773809523809524,1.0,0.9880952380952381
Bacteroides_dorei_DSM_17855,0.6181619256017505,0.7035010940919038,0.587527352297593,0.7100656455142232,0.8052516411378556,0.787746170678337,0.9234135667396062,0.9529540481400438,0.9080962800875274,1.0
