,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.3858267716535433,0.6299212598425197,0.4330708661417323,0.7559055118110236,0.6771653543307087,0.6062992125984252,0.5433070866141733,0.5984251968503937,0.5984251968503937
Alistipes_putredinis_DSM_17216,0.550561797752809,1.0,0.6067415730337079,0.5730337078651685,0.4943820224719101,0.5955056179775281,0.6404494382022472,0.6404494382022472,0.7865168539325843,0.7528089887640449
Anaerococcus_hydrogenalis_DSM_7454,0.6896551724137931,0.46551724137931033,1.0,0.5,0.7413793103448276,0.75,0.5,0.4396551724137931,0.47413793103448276,0.5344827586206896
Anaerofustis_stercorihominis_DSM_17244,0.632183908045977,0.5862068965517241,0.6666666666666666,1.0,0.7126436781609196,0.6666666666666666,0.6436781609195402,0.5747126436781609,0.5977011494252874,0.6551724137931034
Anaerostipes_caccae_DSM_14662,0.676056338028169,0.30985915492957744,0.6056338028169014,0.43661971830985913,1.0,0.6126760563380281,0.6690140845070423,0.5845070422535211,0.5774647887323944,0.6267605633802817
Anaerotruncus_colihominis_DSM_17241,0.7478260869565218,0.4608695652173913,0.7565217391304347,0.5043478260869565,0.7565217391304347,1.0,0.5478260869565217,0.5130434782608696,0.5217391304347826,0.5391304347826087
Bacteroides_caccae_ATCC_43185,0.4666666666666667,0.34545454545454546,0.3515151515151515,0.3393939393939394,0.5757575757575758,0.38181818181818183,1.0,0.8424242424242424,0.6787878787878788,0.7454545454545455
Bacteroides_cellulosilyticus_DSM_14838,0.3791208791208791,0.3131868131868132,0.2802197802197802,0.27472527472527475,0.45604395604395603,0.3241758241758242,0.7637362637362637,1.0,0.5714285714285714,0.6153846153846154
Bacteroides_coprophilus_DSM_18228,0.562962962962963,0.5185185185185185,0.4074074074074074,0.3851851851851852,0.6074074074074074,0.4444444444444444,0.8296296296296296,0.7703703703703704,1.0,0.8666666666666667
Bacteroides_dorei_DSM_17855,0.5277777777777778,0.4652777777777778,0.4305555555555556,0.3958333333333333,0.6180555555555556,0.4305555555555556,0.8541666666666666,0.7777777777777778,0.8125,1.0
