,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,0.0,0.6377952755905512,0.6377952755905512,0.6377952755905512,0.6456692913385826,0.6850393700787402,0.7007874015748031,0.6692913385826772,0.6771653543307087,0.6850393700787402
Alistipes_putredinis_DSM_17216,0.7191011235955056,0.0,0.7303370786516854,0.7752808988764045,0.6853932584269663,0.7191011235955056,0.7528089887640449,0.7528089887640449,0.7640449438202247,0.7640449438202247
Anaerococcus_hydrogenalis_DSM_7454,0.7586206896551724,0.6982758620689655,0.0,0.7672413793103449,0.7672413793103449,0.7586206896551724,0.7844827586206896,0.7413793103448276,0.7327586206896551,0.8017241379310345
Anaerofustis_stercorihominis_DSM_17244,0.6436781609195402,0.6666666666666666,0.6551724137931034,0.0,0.6781609195402298,0.6551724137931034,0.7126436781609196,0.6896551724137931,0.6436781609195402,0.6896551724137931
Anaerostipes_caccae_DSM_14662,0.5563380281690141,0.5211267605633803,0.5985915492957746,0.6056338028169014,0.0,0.5985915492957746,0.6267605633802817,0.6126760563380281,0.5915492957746479,0.6338028169014085
Anaerotruncus_colihominis_DSM_17241,0.808695652173913,0.7478260869565218,0.782608695652174,0.8,0.8173913043478261,0.0,0.8347826086956521,0.8347826086956521,0.808695652173913,0.8347826086956521
Bacteroides_caccae_ATCC_43185,0.4909090909090909,0.42424242424242425,0.4727272727272727,0.46060606060606063,0.48484848484848486,0.4909090909090909,0.0,0.5818181818181818,0.5272727272727272,0.6
Bacteroides_cellulosilyticus_DSM_14838,0.4065934065934066,0.36813186813186816,0.3791208791208791,0.3791208791208791,0.4065934065934066,0.4175824175824176,0.4945054945054945,0.0,0.45054945054945056,0.4835164835164835
Bacteroides_coprophilus_DSM_18228,0.6074074074074074,0.562962962962963,0.5703703703703704,0.562962962962963,0.5925925925925926,0.6,0.6666666666666666,0.6592592592592592,0.0,0.6666666666666666
Bacteroides_dorei_DSM_17855,0.5277777777777778,0.4930555555555556,0.5347222222222222,0.5,0.5416666666666666,0.5277777777777778,0.6527777777777778,0.6180555555555556,0.5833333333333334,0.0
