,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,alathr[e],5prdmbz[c],3php[c],5prdmbz[c],e4p[c],3php[c],l2a6o[c],hspg_degr_2[e],l2a6o[c],3php[c]
1,frdp[c],h2[c],e4p[c],3php[c],glymet[e],glymet[e],citr_L[c],gam26s[e],citr_L[c],l2a6o[c]
2,3php[c],3php[c],glymet[e],pgi15[c],l2a6o[c],mqn8[c],no2[e],l2a6o[c],cd2[e],mqn8[c]
3,alagly[e],pgi15[c],l2a6o[c],2ahbut[c],glytyr[e],glytyr[e],na1[c],mqn8[c],cytd[c],citr_L[c]
4,palmtca1[c],e4p[c],glytyr[e],citr_L[c],citr_L[c],citr_L[c],cytd[c],citr_L[c],db4p[c],dann[c]
5,e4p[c],glyald[c],citr_L[c],glyald[c],na1[c],na1[c],db4p[c],cd2[e],ac[c],cytd[c]
6,glymet[e],cytd[c],cytd[c],dann[c],cytd[c],cytd[c],ac[c],dann[c],3c3hmp[c],db4p[c]
7,glytyr[e],2ohph[c],db4p[c],na1[c],db4p[c],glyphe[e],3c3hmp[c],cytd[c],malcoa[c],ac[c]
8,citr_L[c],ac[c],ac[c],cytd[c],glyphe[e],ac[c],acgalidour2s[e],db4p[c],3c4mop[c],3c3hmp[c]
9,cd2[e],lipidX[c],glyphe[e],2ohph[c],3c3hmp[c],3c3hmp[c],malcoa[c],ac[c],dmphqno[c],3c4mop[c]
10,no2[e],gagicolipa[c],ihdcoa[c],ac[c],3c4mop[c],lipidX[c],3c4mop[c],hspg_degr_3[e],dtdprmn[c],alpro[c]
