,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,f1a_rl[e],db4p[c],asp_L[e],4mpentACP[c],4mpentACP[c],asp_L[e],4mpentACP[c],biomass[c],biomass[c],fuc_L[e]
1,ttdcea[c],2ahhmp[c],glu_L[e],ttdcea[c],ttdcea[c],alagln[c],biomass[c],dnad[c],dnad[c],4mpentACP[c]
2,biomass[c],4mpentACP[c],na1[c],biomass[c],biomass[c],4mpentACP[c],3hpalmACP[c],myrstca1[c],myrstca1[c],pa140[c]
3,dnad[c],glu_L[e],glyb[e],3hpalmACP[c],3hpalmACP[c],2dhp[c],dnad[c],ptrc[c],ptrc[c],biomass[c]
4,pgpi16[c],na1[c],glyb[c],dnad[c],dnad[c],pant_R[c],myrstca1[c],butpi[c],butpi[c],3hpalmACP[c]
5,salcn[e],cob[c],ttdcea[c],cholate[e],4m3ohexACP[c],ttdcea[c],4m3ohexACP[c],btcoa[c],btcoa[c],dnad[c]
6,dhlpro[c],comSScob[c],3hdecACP[c],12m3otridecACP[c],cdpdihdecg[c],10m3oundecACP[c],4abut[c],n8aspmd[c],n8aspmd[c],myrstca1[c]
7,dkdi[c],ps141[c],8m3odcaACP[c],12m3htridecACP[c],pgpi16[c],3hdecACP[c],cdpdihdecg[c],ps141[c],csn[e],4m3ohexACP[c]
8,5dgclur[c],pe141[c],indole[e],pppi[c],5m3ohexACP[c],8mnonACP[c],pgpi16[c],uaaAgtla[c],ps141[c],4abut[c]
9,csn[e],pe120[c],nicrnt[c],ttdca[c],q8h2[c],8m3odcaACP[c],5m3ohexACP[c],2dhp[c],2c25dho[c],5m3ohexACP[c]
10,2ins[c],10m3oundecACP[c],alaasp[c],uaaAgtla[c],ptrc[c],alaasp[c],ptrc[c],pant_R[c],pei17[c],ptrc[c]
11,camp[c],8mnonACP[c],cd2[e],8m3hnonACP[c],ocdcaACP[c],cd2[e],ocdcaACP[c],2c25dho[c],ppap[c],ocdcaACP[c]
12,uaaAgtla[c],indole[e],biomass[c],g3pc[c],pa180[c],biomass[c],pa180[c],pei17[c],isocapr[c],pa180[c]
13,ohpb[c],HC01710[c],3hpalmACP[c],2hdecg3p[c],12m3otridecACP[c],cdpdodec11eg[c],butpi[c],focytC[c],ps180[c],butpi[c]
14,phthr[c],cd2[e],dnad[c],2c25dho[c],12m3htridecACP[c],3hpalmACP[c],btcoa[c],ppap[c],chol[c],btcoa[c]
15,g3pc[c],biomass[c],3hocoa[c],oxa[c],fa6[c],tpalm2eACP[c],cmpacna[c],isocapr[c],ai17tcaacgam[c],12m3otridecACP[c]
16,ppap[c],cdpdodec11eg[c],4m3ohexACP[c],ppap[c],ihdcoa[c],dnad[c],12m3otridecACP[c],ps180[c],urea[c],12m3htridecACP[c]
17,pi[e],dnad[c],no3[c],inost[c],ggdp[c],ocACP[c],12m3htridecACP[c],chol[c],urea[e],i16tcaglc[c]
18,alltn[c],cit[c],Lcyst[e],2ins[c],ttdca[c],3odecACP[c],i16tcaglc[c],pre8[c],pan4p[c],i16tca1[c]
19,inost[c],1ihdecg3p[c],lac_D[e],urea[c],ps141[c],3hocoa[c],i16tca1[c],pa120[c],aps[c],n8aspmd[c]
20,urea[c],itdcoa[c],lac_D[c],urea[e],uaaAgtla[c],4m3ohexACP[c],n8aspmd[c],cdpdddecg[c],spmd[e],fa6[c]
21,urea[e],1itdecg3p[c],3hddecACP[c],malt[c],glygln[e],4mhexACP[c],fa6[c],ai17tcaacgam[c],spmd[c],ihdcoa[c]
22,ppp9[c],dhlam[c],5m3ohexACP[c],3hdcoa[c],ohpb[c],3haACP[c],ihdcoa[c],urea[c],4ppcys[c],uaaAgtla[c]
23,pan4p[c],dcyt[c],ptrc[c],1agpe180[c],phthr[c],salcn[e],cbi[c],urea[e],pb[c],4abz[c]
24,4ppcys[c],isobut[c],5m3hhexACP[c],pan4p[c],2dhp[c],3hddecACP[c],pppi[c],pan4p[c],pb[e],dhpt[c]
25,ser_D[c],12m3otridecACP[c],12m3otridecACP[c],aacald[c],pydam[e],selnp[c],ps141[c],aps[c],tdchola[e],12m3omyrsACP[c]
26,core2_rl[e],12m3htridecACP[c],12m3htridecACP[c],4ppcys[c],pydam[c],fruur[c],uaaAgtla[c],spmd[e],C02528[e],8m3hnonACP[c]
27,agam1b6agal[e],cdpdihdecg[c],gbbtn[e],ahdt[c],12m3omyrsACP[c],5m3ohexACP[c],2dhp[c],spmd[c],ai15tca1[c],13m3omyrsACP[c]
28,1agpe141[c],btoh[c],tma[e],pb[c],8m3hnonACP[c],glx[c],12m3omyrsACP[c],4ppcys[c],cobya[c],paai17[c]
29,g3pe[c],btal[c],n8aspmd[c],pb[e],g3pc[c],dhlam[c],8m3hnonACP[c],pb[c],hdcea[c],cdpdaihpdecg[c]
30,hdcea[c],citr_L[c],3dhsk[c],td2coa[c],13m3omyrsACP[c],5m3hhexACP[c],13m3omyrsACP[c],pb[e],2s5epchc[c],2c25dho[c]
31,inost[e],hdcea[c],btoh[c],3htdcoa[c],paai17[c],malcoa[c],paai17[c],cdpdtdec7eg[c],pe180[c],pei17[c]
32,fdxrd[c],10m3hundecACP[c],btal[c],hxcoa[c],cdpdaihpdecg[c],3opalmACP[c],cdpdaihpdecg[c],prl45tca[c],btn[c],ppap[c]
33,fdxox[c],alaglu[c],2dmmq8[c],3hoctACP[c],pant_R[c],cdp[c],pant_R[c],ai15tca1[c],gchola[e],isocapr[c]
34,xylu_L[c],ppcoa[c],ggdp[c],toct2eACP[c],2hdecg3p[c],12m3otridecACP[c],pei17[c],xylu_L[c],cholate[e],chol[c]
35,dtdpglu[c],6m3oheptACP[c],3ohcoa[c],3ooctACP[c],2c25dho[c],12m3htridecACP[c],focytC[c],hdcea[c],4hba[c],pi[e]
36,2s5epchc[c],h2o[e],10m3hundecACP[c],1agpe141[c],oxa[c],12dgr181[c],ppap[c],com[c],pdx5p[c],pre8[c]
37,btn[c],gly[e],ttdca[c],g3pe[c],pei17[c],thm[e],isocapr[c],dhmphze[c],palmtcaacgam[c],prl45tca[c]
38,4adcho[c],4abz[c],alaglu[c],hdcea[c],chol[e],btoh[c],cdpdodecg[c],pe180[c],btoh[c],pa120[c]
39,4hba[c],dhpt[c],g3pe[c],10m3oundecACP[c],malcoa[c],btal[c],ps180[c],btn[c],tchola[e],cdpdddecg[c]
40,6a2ohxnt[c],8m3hnonACP[c],ppcoa[c],3hoctaACP[c],4ampm[c],mana[c],chol[c],cspg_ab_rest[e],psi17[c],ai17tcaacgam[c]
41,uppg3[c],ppa[c],camp[c],toctd2eACP[c],ppap[c],ggdp[c],prl45tca[c],pgp120[c],6a2ohxnt[c],urea[c]
42,cpppg3[c],ppa[e],2maacoa[c],ddcacoa[c],cdpdodecg[c],hdcea[c],pa120[c],pg120[c],hg2[c],urea[e]
43,glyb[c],isobut[e],btcoa[c],3otdcoa[c],ps180[c],10m3hundecACP[c],cdpdddecg[c],4hba[c],hg2[e],ppp9[c]
44,glyasp[e],ppap[c],fdxox[c],3oocoa[c],pa120[c],alaglu[c],inost[c],palmtcaacgam[c],isoval[e],12mmyrsACP[c]
45,uaagtmda[c],pi[e],6m3oheptACP[c],3hddecACP[c],cdpdddecg[c],9m3hdcaACP[c],2ins[c],btoh[c],dha[c],10mtddec2eACP[c]
46,glyglu[e],pa120[c],2dda7p[c],btn[c],urea[c],9mtdec2eACP[c],urea[c],no2[c],ppcoa[c],pan4p[c]
47,ppcoa[c],cdpdddecg[c],12m3omyrsACP[c],pgp120[c],urea[e],g3pe[c],urea[e],psi17[c],sttca1[c],na1[e]
48,thm[c],8m3ononACP[c],8m3hnonACP[c],pg120[c],12mmyrsACP[c],6mocACP[c],ppp9[c],6a2ohxnt[c],sttcaacgam[c],aps[c]
49,co2[e],urea[c],pydam[c],2agpe160[c],3hdcoa[c],HC01668[c],12mmyrsACP[c],4ppan[c],ai15tcaacgam[c],15m3opalmACP[c]
50,HC01609[c],urea[e],pyam5p[c],hdca[c],1agpe180[c],dms[c],10mtddec2eACP[c],uaagtmda[c],co2dam[c],cdpdipdecg[c]
51,alltn[e],pa161[c],3haACP[c],4hba[c],3uib[c],ppcoa[c],pgpi17[c],hg2[c],co2[e],spmd[e]
52,amopbut_L[c],indole[c],tma[c],3hmbcoa[c],pan4p[c],gly[e],pgi17[c],hg2[e],pydam[c],spmd[c]
