,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.40816326530612246,0.5510204081632653,0.336734693877551,0.5204081632653061,0.5,0.4387755102040816,0.37755102040816324,0.40816326530612246,0.37755102040816324
Alistipes_putredinis_DSM_17216,0.40404040404040403,1.0,0.37373737373737376,0.5959595959595959,0.32323232323232326,0.3838383838383838,0.35353535353535354,0.35353535353535354,0.32323232323232326,0.32323232323232326
Anaerococcus_hydrogenalis_DSM_7454,0.7941176470588235,0.5441176470588235,1.0,0.4117647058823529,0.6764705882352942,0.6323529411764706,0.4852941176470588,0.4411764705882353,0.45588235294117646,0.45588235294117646
Anaerofustis_stercorihominis_DSM_17244,0.35106382978723405,0.6276595744680851,0.2978723404255319,1.0,0.3191489361702128,0.32978723404255317,0.39361702127659576,0.3617021276595745,0.3829787234042553,0.35106382978723405
Anaerostipes_caccae_DSM_14662,0.75,0.47058823529411764,0.6764705882352942,0.4411764705882353,1.0,0.6617647058823529,0.5588235294117647,0.5735294117647058,0.5441176470588235,0.5147058823529411
Anaerotruncus_colihominis_DSM_17241,0.6805555555555556,0.5277777777777778,0.5972222222222222,0.4305555555555556,0.625,1.0,0.5277777777777778,0.5555555555555556,0.5555555555555556,0.5694444444444444
Bacteroides_caccae_ATCC_43185,0.5512820512820513,0.44871794871794873,0.4230769230769231,0.47435897435897434,0.48717948717948717,0.48717948717948717,1.0,0.7307692307692307,0.6666666666666666,0.6666666666666666
Bacteroides_cellulosilyticus_DSM_14838,0.4805194805194805,0.45454545454545453,0.38961038961038963,0.44155844155844154,0.5064935064935064,0.5194805194805194,0.7402597402597403,1.0,0.6233766233766234,0.7012987012987013
Bacteroides_coprophilus_DSM_18228,0.6451612903225806,0.5161290322580645,0.5,0.5806451612903226,0.5967741935483871,0.6451612903225806,0.8387096774193549,0.7741935483870968,1.0,0.7258064516129032
Bacteroides_dorei_DSM_17855,0.5692307692307692,0.49230769230769234,0.47692307692307695,0.5076923076923077,0.5384615384615384,0.6307692307692307,0.8,0.8307692307692308,0.6923076923076923,1.0
