,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.22549019607843138,0.45098039215686275,0.39215686274509803,0.5784313725490197,0.5049019607843137,0.44607843137254904,0.3480392156862745,0.36764705882352944,0.38235294117647056
Alistipes_putredinis_DSM_17216,0.23469387755102042,1.0,0.37244897959183676,0.44387755102040816,0.6377551020408163,0.46938775510204084,0.673469387755102,0.4744897959183674,0.45408163265306123,0.7755102040816326
Anaerococcus_hydrogenalis_DSM_7454,0.30564784053156147,0.2425249169435216,1.0,0.4950166112956811,0.6943521594684385,0.6345514950166113,0.40863787375415284,0.22591362126245848,0.2425249169435216,0.4019933554817276
Anaerofustis_stercorihominis_DSM_17244,0.33195020746887965,0.36099585062240663,0.6182572614107884,1.0,0.8049792531120332,0.6763485477178424,0.44813278008298757,0.2863070539419087,0.27800829875518673,0.45228215767634855
Anaerostipes_caccae_DSM_14662,0.24279835390946503,0.257201646090535,0.43004115226337447,0.3991769547325103,1.0,0.5925925925925926,0.5617283950617284,0.29835390946502055,0.24279835390946503,0.5493827160493827
Anaerotruncus_colihominis_DSM_17241,0.2861111111111111,0.25555555555555554,0.5305555555555556,0.4527777777777778,0.8,1.0,0.5277777777777778,0.3388888888888889,0.2611111111111111,0.5333333333333333
Bacteroides_caccae_ATCC_43185,0.23037974683544304,0.3341772151898734,0.31139240506329113,0.27341772151898736,0.6911392405063291,0.4810126582278481,1.0,0.4759493670886076,0.38734177215189874,0.830379746835443
Bacteroides_cellulosilyticus_DSM_14838,0.29831932773109243,0.3907563025210084,0.2857142857142857,0.28991596638655465,0.6092436974789915,0.5126050420168067,0.7899159663865546,1.0,0.7016806722689075,0.819327731092437
Bacteroides_coprophilus_DSM_18228,0.3588516746411483,0.4258373205741627,0.3492822966507177,0.32057416267942584,0.5645933014354066,0.44976076555023925,0.7320574162679426,0.7990430622009569,1.0,0.8947368421052632
Bacteroides_dorei_DSM_17855,0.19306930693069307,0.37623762376237624,0.2995049504950495,0.2698019801980198,0.6608910891089109,0.4752475247524752,0.8118811881188119,0.48267326732673266,0.4628712871287129,1.0
