,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes_putredinis_DSM_17216,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.031746031746031744,0.0
Anaerococcus_hydrogenalis_DSM_7454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerofustis_stercorihominis_DSM_17244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes_caccae_DSM_14662,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2
Anaerotruncus_colihominis_DSM_17241,0.11688311688311688,0.0,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.03896103896103896,0.012987012987012988
Bacteroides_caccae_ATCC_43185,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.07692307692307693
Bacteroides_cellulosilyticus_DSM_14838,0.0,0.015,0.005,0.02,0.0,0.1,0.015,0.0,0.065,0.02
Bacteroides_coprophilus_DSM_18228,0.0,0.01639344262295082,0.0,0.03278688524590164,0.0,0.07377049180327869,0.02459016393442623,0.09016393442622951,0.0,0.09836065573770492
Bacteroides_dorei_DSM_17855,0.0,0.021739130434782608,0.0,0.0,0.0,0.21739130434782608,0.06521739130434782,0.021739130434782608,0.08695652173913043,0.0
