,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,"('fuc_L_e', 'fuc_L_c')","('db4p_c', 'dmlz_c')","('db4p_c', 'dmlz_c')","('s17bp_c', 'dhap_c')","('dcmp_c', 'dcyt_c')","('dcmp_c', 'dcyt_c')","('fuc_L_e', 'fuc_L_c')","('fuc_L_e', 'fuc_L_c')","('fuc_L_e', 'fuc_L_c')","('dcmp_c', 'dcyt_c')"
1,"('dcmp_c', 'dcyt_c')","('r5p_c', 'g3p_c')","('stcoa_c', 'pa180_c')","('s17bp_c', 'e4p_c')","('dcmp_c', 'dcdp_c')","('dcmp_c', 'dump_c')","('dcmp_c', 'dcyt_c')","('dcmp_c', 'dcyt_c')","('dcmp_c', 'dcyt_c')","('dcmp_c', 'dump_c')"
2,"('dcmp_c', 'dcdp_c')","('r5p_c', 's7p_c')","('stcoa_c', '1odecg3p_c')","('dhap_c', 's17bp_c')","('dcmp_c', 'dump_c')","('dcmp_c', 'dcdp_c')","('dcmp_c', 'dump_c')","('dcmp_c', 'dump_c')","('dcmp_c', 'dump_c')","('dcmp_c', 'dcdp_c')"
3,"('dcyt_c', 'duri_c')","('r5p_c', 'ru5p_D_c')","('pa180_c', 'cdpdodecg_c')","('dhap_c', 'g3p_c')","('dcyt_c', 'duri_c')","('dcyt_c', 'duri_c')","('dcmp_c', 'dcdp_c')","('dcmp_c', 'dcdp_c')","('dcmp_c', 'dcdp_c')","('dcyt_c', 'duri_c')"
4,"('s17bp_c', 'dhap_c')","('r5p_c', 'prpp_c')","('r5p_c', 'g3p_c')","('dhap_c', 'fdp_c')","('s17bp_c', 'dhap_c')","('stcoa_c', 'pa180_c')","('dcyt_c', 'duri_c')","('dcyt_c', 'duri_c')","('dcyt_c', 'duri_c')","('dcyt_c', 'dcyt_e')"
5,"('s17bp_c', 'e4p_c')","('r5p_c', 'psd5p_c')","('r5p_c', 's7p_c')","('dhap_c', 'dha_c')","('s17bp_c', 'e4p_c')","('stcoa_c', 'ocdcaACP_c')","('dcyt_c', 'dcyt_e')","('dcyt_c', 'dcyt_e')","('dcyt_c', 'dcyt_e')","('s17bp_c', 'dhap_c')"
6,"('dhap_c', 's17bp_c')","('gln_L_c', 'alagln_c')","('r5p_c', 'ru5p_D_c')","('dhap_c', 'f1p_c')","('dhap_c', 's17bp_c')","('stcoa_c', '1odecg3p_c')","('s17bp_c', 'dhap_c')","('s17bp_c', 'dhap_c')","('s17bp_c', 'dhap_c')","('s17bp_c', 'e4p_c')"
7,"('dhap_c', 'g3p_c')","('gln_L_c', 'pyr_c')","('r5p_c', 'prpp_c')","('dhap_c', 'quln_c')","('dhap_c', 'g3p_c')","('stcoa_c', 'ocdca_c')","('s17bp_c', 'e4p_c')","('s17bp_c', 'e4p_c')","('s17bp_c', 'e4p_c')","('dhap_c', 's17bp_c')"
8,"('dhap_c', 'fdp_c')","('gln_L_c', 'cbp_c')","('r5p_c', 'psd5p_c')","('4mpentACP_c', '6m3oheptACP_c')","('dhap_c', 'fdp_c')","('pa180_c', 'cdpdodecg_c')","('dhap_c', 's17bp_c')","('dhap_c', 's17bp_c')","('dhap_c', 's17bp_c')","('dhap_c', 'g3p_c')"
9,"('dhap_c', 'fc1p_c')","('gln_L_c', 'gmp_c')","('gln_L_c', 'alagln_c')","('cys_L_c', 'tsul_c')","('dhap_c', 'tagdp_D_c')","('r5p_c', 'g3p_c')","('dhap_c', 'g3p_c')","('dhap_c', 'g3p_c')","('dhap_c', 'g3p_c')","('dhap_c', 'fdp_c')"
10,"('dhap_c', 'f1p_c')","('gln_L_c', 'pydx5p_c')","('gln_L_c', 'ctp_c')","('cys_L_c', 'cmp_c')","('dhap_c', 'mthgxl_c')","('r5p_c', 's7p_c')","('dhap_c', 'glyc3p_c')","('dhap_c', 'glyc3p_c')","('dhap_c', 'fdp_c')","('dhap_c', 'dha_c')"
11,"('cys_L_c', 'tsul_c')","('gln_L_c', '4adcho_c')","('gln_L_c', 'cbp_c')","('cys_L_c', '4ppcys_c')","('dhap_c', 'f1p_c')","('r5p_c', 'r1p_c')","('dhap_c', 'fdp_c')","('dhap_c', 'fdp_c')","('dhap_c', 'dha_c')","('dhap_c', 'mthgxl_c')"
12,"('cys_L_c', 'h2s_c')","('gln_L_c', 'pram_c')","('gln_L_c', 'gmp_c')","('cys_L_c', 'trdrd_c')","('dhap_c', 'quln_c')","('r5p_c', 'prpp_c')","('dhap_c', 'dha_c')","('dhap_c', 'dha_c')","('dhap_c', 'fc1p_c')","('dhap_c', 'f1p_c')"
13,"('cys_L_c', 'cmp_c')","('gln_L_c', 'fpram_c')","('gln_L_c', 'pydx5p_c')","('cys_L_c', '4hba_c')","('4mpentACP_c', '6m3oheptACP_c')","('r5p_c', 'ru5p_D_c')","('dhap_c', 'tagdp_D_c')","('dhap_c', 'tagdp_D_c')","('dhap_c', 'glyc3p_c')","('dhap_c', 'quln_c')"
14,"('cys_L_c', '4ppcys_c')","('gln_L_c', 'gam6p_c')","('gln_L_c', 'pram_c')","('cys_L_c', 'ala_L_c')","('raffin_e', 'raffin_c')","('r5p_c', 'psd5p_c')","('dhap_c', 'fc1p_c')","('dhap_c', 'fc1p_c')","('dhap_c', 'f1p_c')","('dhap_c', 'glyc3p_c')"
15,"('cys_L_c', 'trdrd_c')","('gln_L_c', 'glygln_c')","('gln_L_c', 'fpram_c')","('cys_L_c', 'acser_c')","('raffin_c', 'melib_c')","('glu_D_c', 'uamag_c')","('dhap_c', 'mthgxl_c')","('dhap_c', 'mthgxl_c')","('dhap_c', 'quln_c')","('dhap_c', 'rml1p_c')"
16,"('cys_L_c', '4hba_c')","('gln_L_c', 'anth_c')","('gln_L_c', 'gam6p_c')","('cys_L_c', '4mpetz_c')","('raffin_c', 'gal_c')","('glytyr_c', 'tyr_L_c')","('dhap_c', 'f1p_c')","('dhap_c', 'f1p_c')","('4mpentACP_c', '6m3oheptACP_c')","('4mpentACP_c', '6m3oheptACP_c')"
17,"('cys_L_c', 'ala_L_c')","('alagln_c', 'gln_L_c')","('gln_L_c', 'glygln_c')","('cys_L_c', 'cys_L_e')","('raffin_c', 'stys_c')","('s17bp_c', 'dhap_c')","('dhap_c', 'quln_c')","('dhap_c', 'quln_c')","('f1a_rl_e', 'gal_e')","('f1a_rl_e', 'gal_e')"
18,"('cys_L_c', 'acser_c')","('glu_D_c', 'uamag_c')","('gln_L_c', 'gln_L_e')","('tsul_c', 'cys_L_c')","('raffin_c', 'fru_c')","('s17bp_c', 'e4p_c')","('dhap_c', 'rml1p_c')","('dhap_c', 'rml1p_c')","('f1a_rl_e', 'agam1b6agal_e')","('f1a_rl_e', 'agam1b6agal_e')"
