,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,grdp_c,grdp_c,grdp_c,grdp_c,grdp_c,grdp_c,grdp_c,grdp_c,grdp_c,grdp_c
1,succ_c,succ_c,succ_c,succ_c,succ_c,succ_c,succ_c,succ_c,succ_c,succ_c
2,4h2oglt_c,malACP_c,3hocoa_c,malACP_c,5thf_c,3hocoa_c,uacmam_c,5thf_c,5thf_c,5thf_c
3,i14tca1_c,4h2oglt_c,4h2oglt_c,uacmam_c,4h2oglt_c,4h2oglt_c,5thf_c,4h2oglt_c,4h2oglt_c,4h2oglt_c
4,dad_2_c,pe141_c,3hhcoa_c,4h2oglt_c,3hocoa_c,3hhcoa_c,4h2oglt_c,pe141_c,uacmam_c,uacmam_c
5,2agpg181_c,ps160_c,dad_2_c,3hocoa_c,pe141_c,selnp_c,pe141_c,i14tca1_c,pe141_c,pe141_c
6,pgpi15_c,dad_2_c,aacoa_c,3hhcoa_c,3hhcoa_c,dad_2_c,i14tca1_c,ps160_c,i14tca1_c,i14tca1_c
7,arg_L_e,aacoa_c,rdmbzi_c,ps160_c,i14tca1_c,aacoa_c,ps160_c,dad_2_c,ps160_c,ps160_c
8,cdpdaihpdecg_c,rdmbzi_c,3ooctdACP_c,dad_2_c,selnp_c,rdmbzi_c,dad_2_c,rdmbzi_c,dad_2_c,dad_2_c
9,ppbng_c,3ooctdACP_c,2agpg181_c,hx2coa_c,ps160_c,3ooctdACP_c,3ooctdACP_c,3ooctdACP_c,rdmbzi_c,rdmbzi_c
10,hco3_c,adocbi_c,pgpi15_c,aacoa_c,dad_2_c,adocbi_c,s_c,s_c,3ooctdACP_c,3ooctdACP_c
11,ddcaACP_c,arg_L_e,arg_L_e,rdmbzi_c,hx2coa_c,2agpg181_c,adocbi_c,adocbi_c,s_c,s_c
