,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.5289655172413793,0.64,0.6193103448275862,0.6813793103448276,0.6565517241379311,0.6848275862068965,0.6627586206896552,0.6772413793103448,0.6751724137931034
Alistipes_putredinis_DSM_17216,0.5367389783065081,1.0,0.5570328901329601,0.6529041287613716,0.6123163051084675,0.6438068579426172,0.72778166550035,0.7431770468859342,0.7494751574527642,0.7410776766969909
Anaerococcus_hydrogenalis_DSM_7454,0.7046317388003037,0.6044039483675019,1.0,0.7524677296886864,0.809415337889142,0.7691723614274867,0.6674259681093394,0.662870159453303,0.6476841305998481,0.6636294608959757
Anaerofustis_stercorihominis_DSM_17244,0.5546633724521309,0.5762816553428042,0.612106238418777,1.0,0.7350216182828907,0.6584311303273626,0.6269302038295244,0.6238418777022854,0.62816553428042,0.6145768993205682
Anaerostipes_caccae_DSM_14662,0.5691244239631337,0.5040322580645161,0.6140552995391705,0.6854838709677419,1.0,0.7355990783410138,0.6820276497695853,0.6993087557603687,0.6722350230414746,0.6895161290322581
Anaerotruncus_colihominis_DSM_17241,0.6110397946084724,0.5905006418485238,0.6501925545571245,0.6842105263157895,0.8196405648267009,1.0,0.7246469833119383,0.7528883183568678,0.7092426187419769,0.7374839537869063
Bacteroides_caccae_ATCC_43185,0.5432166301969366,0.5689277899343544,0.48085339168490154,0.5552516411378556,0.6477024070021882,0.6176148796498906,1.0,0.8966083150984683,0.799781181619256,0.8440919037199125
Bacteroides_cellulosilyticus_DSM_14838,0.5065893516078018,0.5598313125988402,0.4602003162888772,0.5324196099103848,0.63995782814971,0.6183447548761202,0.863995782814971,1.0,0.7917764891934633,0.8286768581971534
Bacteroides_coprophilus_DSM_18228,0.5773074661963551,0.6296296296296297,0.5014697236919459,0.5978835978835979,0.6860670194003528,0.649617871840094,0.8594944150499706,0.8830099941211053,1.0,0.9041740152851264
Bacteroides_dorei_DSM_17855,0.5481522956326987,0.5929451287793953,0.48936170212765956,0.5571108622620381,0.6702127659574468,0.6433370660694289,0.8639417693169092,0.8801791713325868,0.8611422172452408,1.0
