,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.6261203585147247,0.7439180537772087,0.7323943661971831,0.8540332906530089,0.8015364916773368,0.8130601792573624,0.7848911651728553,0.7580025608194623,0.7964148527528809
Alistipes_putredinis_DSM_17216,0.6383812010443864,1.0,0.685378590078329,0.7859007832898173,0.8133159268929504,0.8028720626631853,0.8877284595300261,0.9033942558746736,0.9033942558746736,0.9033942558746736
Anaerococcus_hydrogenalis_DSM_7454,0.7525906735751295,0.6800518134715026,1.0,0.8251295336787565,0.9093264248704663,0.8717616580310881,0.7668393782383419,0.7487046632124352,0.7215025906735751,0.7525906735751295
Anaerofustis_stercorihominis_DSM_17244,0.6477916194790487,0.681766704416761,0.7214043035107588,1.0,0.8844847112117781,0.8154020385050963,0.7780294450736127,0.782559456398641,0.7542468856172141,0.7802944507361268
Anaerostipes_caccae_DSM_14662,0.6432015429122468,0.600771456123433,0.6769527483124397,0.7531340405014465,1.0,0.7888138862102217,0.7685631629701061,0.7743490838958534,0.7357762777242044,0.7772420443587271
Anaerotruncus_colihominis_DSM_17241,0.6568730325288562,0.6453305351521511,0.7061909758656874,0.7555089192025184,0.8583420776495279,1.0,0.782791185729276,0.8174186778593914,0.7586568730325288,0.8006295907660022
Bacteroides_caccae_ATCC_43185,0.6123432979749277,0.6557377049180327,0.570877531340405,0.6624879459980714,0.7685631629701061,0.7193828351012537,1.0,0.9286403085824494,0.8524590163934426,0.9132111861137898
Bacteroides_cellulosilyticus_DSM_14838,0.566543438077634,0.6395563770794824,0.5341959334565619,0.6386321626617375,0.7421441774491682,0.7199630314232902,0.890018484288355,1.0,0.833641404805915,0.8853974121996303
Bacteroides_coprophilus_DSM_18228,0.6185997910135841,0.723092998955068,0.5820271682340648,0.6959247648902821,0.7972831765935214,0.7554858934169278,0.9237199582027168,0.9425287356321839,1.0,0.9696969696969697
Bacteroides_dorei_DSM_17855,0.5980769230769231,0.6653846153846154,0.5586538461538462,0.6625,0.775,0.7336538461538461,0.9105769230769231,0.9211538461538461,0.8923076923076924,1.0
