"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",1,0.788460022,0.615383432,0.461537574,0.76922929,0.405593451,0.442306842,0.288460984,0.520977844,0.490383672,0.520977844,0.405593451,0.444054915,0.415208817,0.519229771,0.386362719,0.480768306,0.319055156,0.463285648,0.463285648,0.492131746,0.136361276,0.692306361,0.48251638,0.48251638
"Bacteroides_eggerthii_DSM_20697",0.634920635,1,0.80952381,0.428571429,0.904761905,0.436507937,0.476190476,0.238095238,0.492063492,0.468253968,0.555555556,0.412698413,0.476190476,0.428571429,0.523809524,0.396825397,0.523809524,0.333333333,0.428571429,0.388888889,0.444444444,0.095238095,0.888888889,0.507936508,0.531746032
"Bacteroides_ovatus_ATCC_8483",0.516949153,0.855932203,1,0.466101695,0.822033898,0.457627119,0.5,0.271186441,0.525423729,0.474576271,0.593220339,0.423728814,0.474576271,0.457627119,0.559322034,0.423728814,0.525423729,0.372881356,0.474576271,0.398305085,0.440677966,0.152542373,0.898305085,0.559322034,0.576271186
"Bacteroides_pectinophilus_ATCC_43243",0.447116244,0.519231768,0.538462574,1,0.500000962,0.403845007,0.461537426,0.346152589,0.59615307,0.615383876,0.615385799,0.605768473,0.548076054,0.673078217,0.59615307,0.605768473,0.634614682,0.442308543,0.552883756,0.461539349,0.456731648,0.250000481,0.519231768,0.769230325,0.749999519
"Bacteroides_stercoris_ATCC_43183",0.65,0.95,0.816666667,0.433333333,1,0.441666667,0.5,0.266666667,0.516666667,0.508333333,0.583333333,0.4,0.5,0.416666667,0.566666667,0.383333333,0.533333333,0.333333333,0.45,0.391666667,0.466666667,0.116666667,0.9,0.533333333,0.575
"Bifidobacterium_dentium_ATCC_27678",0.438776406,0.571429738,0.571429738,0.428570262,0.551021533,1,0.714285131,0.265304623,0.612244107,0.510203082,0.591837943,0.346937443,0.489794877,0.510205123,0.510203082,0.448978467,0.530611287,0.285714869,0.673468721,0.428572303,0.571429738,0.102041025,0.571429738,0.632652312,0.530611287
"Bifidobacterium_gallicum_DSM_20093",0.468750977,0.625001302,0.625001302,0.499998958,0.625001302,0.718749414,1,0.291665191,0.708332726,0.5520824,0.604167925,0.354165321,0.583332465,0.484376009,0.520832335,0.479165582,0.583332465,0.38541747,0.666665972,0.437500911,0.630209646,0.104166884,0.666668056,0.708332726,0.583332465
"Campylobacter_concisus_13826",0.468391488,0.517239596,0.551722235,0.620684067,0.551722235,0.448270868,0.471263892,1,0.586201427,0.534480916,0.517239596,0.620684067,0.586201427,0.557470491,0.551718787,0.655166706,0.586201427,0.500001724,0.612063407,0.551722235,0.514367192,0.137930559,0.551722235,0.620684067,0.655166706
"Catenibacterium_mitsuokai_DSM_15897",0.439516838,0.500000806,0.500000806,0.499999194,0.500000806,0.483870135,0.548386368,0.274192378,1,0.516128252,0.645162331,0.387095786,0.693547893,0.46774269,0.564515427,0.43548296,0.564515427,0.500000806,0.67338657,0.56451704,0.657259125,0.177419641,0.548387981,0.693547893,0.677418835
"Clostridium_leptum_DSM_753",0.464481851,0.54098538,0.475411395,0.512295122,0.557378877,0.40983577,0.437157171,0.262292663,0.524590245,1,0.622952862,0.377048777,0.540983741,0.448088354,0.672131712,0.40983577,0.475409755,0.338797832,0.524590245,0.377050417,0.464481851,0.18032846,0.573772373,0.606557726,0.639344719
