"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",0,0.153846154,0.326923077,0.288461538,0.173076923,0.384615385,0.288461538,0.288461538,0.288461538,0.346153846,0.384615385,0.365384615,0.288461538,0.365384615,0.288461538,0.346153846,0.365384615,0.230769231,0.269230769,0.25,0.096153846,0.173076923,0.192307692,0.346153846,0.346153846
"Bacteroides_eggerthii_DSM_20697",0.031746032,0,0.158730159,0.158730159,0.031746032,0.222222222,0.158730159,0.206349206,0.222222222,0.222222222,0.253968254,0.206349206,0.174603175,0.206349206,0.142857143,0.19047619,0.206349206,0.142857143,0.174603175,0.158730159,0.063492063,0.095238095,0.047619048,0.206349206,0.206349206
"Bacteroides_ovatus_ATCC_8483",0.033898305,0.016949153,0,0.050847458,0.050847458,0.084745763,0.050847458,0.118644068,0.101694915,0.084745763,0.13559322,0.084745763,0.06779661,0.06779661,0.101694915,0.06779661,0.101694915,0.084745763,0.06779661,0.050847458,0.06779661,0.06779661,0.016949153,0.118644068,0.118644068
"Bacteroides_pectinophilus_ATCC_43243",0.134615385,0.153846154,0.211538462,0,0.173076923,0.173076923,0.153846154,0.115384615,0.134615385,0.115384615,0.230769231,0.192307692,0.134615385,0.115384615,0.192307692,0.153846154,0.192307692,0.134615385,0.153846154,0.076923077,0.076923077,0.134615385,0.25,0.153846154,0.115384615
"Bacteroides_stercoris_ATCC_43183",0.033333333,0,0.15,0.15,0,0.2,0.15,0.216666667,0.2,0.2,0.25,0.2,0.166666667,0.2,0.116666667,0.183333333,0.2,0.133333333,0.166666667,0.15,0.05,0.1,0.033333333,0.183333333,0.183333333
"Bifidobacterium_dentium_ATCC_27678",0.163265306,0.204081633,0.183673469,0.12244898,0.183673469,0,0.081632653,0.163265306,0.163265306,0.163265306,0.12244898,0.183673469,0.12244898,0.06122449,0.204081633,0.163265306,0.163265306,0.183673469,0.020408163,0.102040816,0.040816327,0.183673469,0.163265306,0.12244898,0.163265306
"Bifidobacterium_gallicum_DSM_20093",0.166666667,0.1875,0.1875,0.125,0.166666667,0.104166667,0,0.125,0.104166667,0.1875,0.145833333,0.1875,0.104166667,0.083333333,0.25,0.125,0.145833333,0.166666667,0.083333333,0.125,0.020833333,0.125,0.145833333,0.125,0.145833333
"Campylobacter_concisus_13826",0.103448276,0.172413793,0.206896552,0.103448276,0.172413793,0.137931034,0.068965517,0,0.172413793,0.137931034,0.24137931,0.172413793,0.172413793,0.137931034,0.206896552,0.172413793,0.24137931,0.137931034,0.137931034,0.103448276,0.034482759,0.172413793,0.206896552,0.137931034,0.103448276
"Catenibacterium_mitsuokai_DSM_15897",0.14516129,0.209677419,0.258064516,0.112903226,0.225806452,0.14516129,0.096774194,0.161290323,0,0.177419355,0.177419355,0.209677419,0.064516129,0.112903226,0.241935484,0.129032258,0.177419355,0.129032258,0.096774194,0.096774194,0.032258065,0.14516129,0.209677419,0.129032258,0.112903226
"Clostridium_leptum_DSM_753",0.081967213,0.180327869,0.295081967,0.180327869,0.147540984,0.163934426,0.163934426,0.196721311,0.229508197,0,0.147540984,0.229508197,0.196721311,0.180327869,0.098360656,0.213114754,0.245901639,0.114754098,0.180327869,0.147540984,0.032786885,0.098360656,0.196721311,0.196721311,0.147540984
