"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",1,0.764044943820225,0.775280898876405,0.629213483146067,0.685393258426966,0.651685393258427,0.595505617977528,0.606741573033708,0.640449438202247,0.573033707865168,0.752808988764045,0.539325842696629,0.50561797752809,0.617977528089888,0.617977528089888,0.629213483146067,0.651685393258427,0.561797752808989,0.550561797752809,0.640449438202247,0.674157303370786,0.696629213483146,0.662921348314607,0.640449438202247,0.584269662921348
"Bacteroides_eggerthii_DSM_20697",0.444444444444444,1,0.96078431372549,0.38562091503268,0.777777777777778,0.529411764705882,0.555555555555556,0.333333333333333,0.522875816993464,0.516339869281046,0.529411764705882,0.444444444444444,0.470588235294118,0.405228758169935,0.568627450980392,0.555555555555556,0.542483660130719,0.490196078431373,0.431372549019608,0.490196078431373,0.470588235294118,0.333333333333333,0.660130718954248,0.535947712418301,0.555555555555556
"Bacteroides_ovatus_ATCC_8483",0.319444444444444,0.680555555555556,1,0.300925925925926,0.601851851851852,0.449074074074074,0.449074074074074,0.259259259259259,0.421296296296296,0.402777777777778,0.467592592592593,0.351851851851852,0.37037037037037,0.342592592592593,0.476851851851852,0.467592592592593,0.472222222222222,0.37037037037037,0.402777777777778,0.402777777777778,0.407407407407407,0.25462962962963,0.564814814814815,0.462962962962963,0.453703703703704
"Bacteroides_pectinophilus_ATCC_43243",0.554455445544555,0.584158415841584,0.643564356435644,1,0.544554455445545,0.841584158415842,0.792079207920792,0.722772277227723,0.821782178217822,0.772277227722772,0.841584158415842,0.801980198019802,0.762376237623762,0.841584158415842,0.881188118811881,0.821782178217822,0.584158415841584,0.722772277227723,0.544554455445545,0.831683168316832,0.811881188118812,0.752475247524752,0.544554455445545,0.861386138613861,0.831683168316832
"Bacteroides_stercoris_ATCC_43183",0.451851851851852,0.881481481481482,0.962962962962963,0.407407407407407,1,0.577777777777778,0.614814814814815,0.362962962962963,0.585185185185185,0.562962962962963,0.555555555555556,0.496296296296296,0.540740740740741,0.42962962962963,0.62962962962963,0.644444444444444,0.6,0.555555555555556,0.533333333333333,0.540740740740741,0.525925925925926,0.340740740740741,0.777777777777778,0.614814814814815,0.644444444444444
"Bifidobacterium_dentium_ATCC_27678",0.389261744966443,0.543624161073825,0.651006711409396,0.570469798657718,0.523489932885906,1,0.805369127516778,0.496644295302013,0.758389261744966,0.684563758389262,0.724832214765101,0.691275167785235,0.671140939597315,0.63758389261745,0.771812080536913,0.785234899328859,0.604026845637584,0.657718120805369,0.671140939597315,0.865771812080537,0.845637583892617,0.530201342281879,0.530201342281879,0.798657718120805,0.771812080536913
"Bifidobacterium_gallicum_DSM_20093",0.353333333333333,0.566666666666667,0.646666666666667,0.533333333333333,0.553333333333333,0.8,1,0.513333333333333,0.786666666666667,0.72,0.64,0.733333333333333,0.7,0.626666666666667,0.833333333333333,0.84,0.56,0.72,0.56,0.76,0.76,0.493333333333333,0.526666666666667,0.786666666666667,0.76
"Campylobacter_concisus_13826",0.461538461538462,0.435897435897436,0.478632478632479,0.623931623931624,0.418803418803419,0.632478632478632,0.658119658119658,1,0.572649572649573,0.58974358974359,0.658119658119658,0.683760683760684,0.564102564102564,0.58974358974359,0.64957264957265,0.717948717948718,0.444444444444444,0.606837606837607,0.487179487179487,0.64957264957265,0.615384615384615,0.641025641025641,0.52991452991453,0.632478632478632,0.658119658119658
"Catenibacterium_mitsuokai_DSM_15897",0.431818181818182,0.606060606060606,0.689393939393939,0.628787878787879,0.598484848484849,0.856060606060606,0.893939393939394,0.507575757575758,1,0.78030303030303,0.689393939393939,0.757575757575758,0.840909090909091,0.689393939393939,0.901515151515151,0.840909090909091,0.628787878787879,0.833333333333333,0.613636363636364,0.871212121212121,0.848484848484849,0.553030303030303,0.590909090909091,0.886363636363636,0.886363636363636
"Clostridium_leptum_DSM_753",0.392307692307692,0.607692307692308,0.669230769230769,0.6,0.584615384615385,0.784615384615385,0.830769230769231,0.530769230769231,0.792307692307692,1,0.653846153846154,0.769230769230769,0.769230769230769,0.669230769230769,0.861538461538462,0.838461538461538,0.569230769230769,0.761538461538461,0.576923076923077,0.753846153846154,0.761538461538461,0.546153846153846,0.615384615384615,0.846153846153846,0.876923076923077
