"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",1,0.333333333333333,0.270833333333333,0.270833333333333,0.354166666666667,0.375,0.25,0.270833333333333,0.270833333333333,0.25,0.1875,0.229166666666667,0.270833333333333,0.125,0.229166666666667,0.1875,0.270833333333333,0.208333333333333,0.1875,0.125,0.166666666666667,0.291666666666667,0.375,0.333333333333333,0.25
"Bacteroides_eggerthii_DSM_20697",0.163265306122449,1,0.602040816326531,0.214285714285714,0.693877551020408,0.214285714285714,0.336734693877551,0.0918367346938776,0.285714285714286,0.244897959183673,0.112244897959184,0.408163265306122,0.306122448979592,0.122448979591837,0.214285714285714,0.0918367346938776,0.336734693877551,0.224489795918367,0.13265306122449,0.163265306122449,0.102040816326531,0.0204081632653061,0.86734693877551,0.326530612244898,0.387755102040816
"Bacteroides_ovatus_ATCC_8483",0.127450980392157,0.57843137254902,1,0.176470588235294,0.607843137254902,0.245098039215686,0.186274509803922,0.107843137254902,0.235294117647059,0.156862745098039,0.147058823529412,0.323529411764706,0.225490196078431,0.0980392156862745,0.127450980392157,0.107843137254902,0.333333333333333,0.127450980392157,0.176470588235294,0.235294117647059,0.156862745098039,0.0392156862745098,0.676470588235294,0.352941176470588,0.313725490196078
"Bacteroides_pectinophilus_ATCC_43243",0.206349206349206,0.333333333333333,0.285714285714286,1,0.380952380952381,0.46031746031746,0.222222222222222,0.317460317460317,0.349206349206349,0.349206349206349,0.111111111111111,0.46031746031746,0.349206349206349,0.333333333333333,0.317460317460317,0.142857142857143,0.412698412698413,0.317460317460317,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.0793650793650794,0.380952380952381,0.412698412698413,0.412698412698413
"Bacteroides_stercoris_ATCC_43183",0.17,0.68,0.62,0.24,1,0.32,0.27,0.13,0.37,0.28,0.11,0.44,0.33,0.19,0.2,0.09,0.4,0.22,0.18,0.2,0.16,0.05,0.78,0.46,0.47
"Bifidobacterium_dentium_ATCC_27678",0.236842105263158,0.276315789473684,0.328947368421053,0.381578947368421,0.421052631578947,1,0.460526315789474,0.368421052631579,0.434210526315789,0.328947368421053,0.223684210526316,0.276315789473684,0.276315789473684,0.171052631578947,0.171052631578947,0.289473684210526,0.447368421052632,0.223684210526316,0.302631578947368,0.276315789473684,0.236842105263158,0.171052631578947,0.394736842105263,0.526315789473684,0.421052631578947
"Bifidobacterium_gallicum_DSM_20093",0.1875,0.515625,0.296875,0.21875,0.421875,0.546875,1,0.078125,0.5,0.421875,0.171875,0.34375,0.390625,0.21875,0.25,0.140625,0.53125,0.296875,0.234375,0.25,0.21875,0.03125,0.59375,0.59375,0.484375
"Campylobacter_concisus_13826",0.270833333333333,0.1875,0.229166666666667,0.416666666666667,0.270833333333333,0.583333333333333,0.104166666666667,1,0.104166666666667,0.0625,0.166666666666667,0.145833333333333,0.125,0.0208333333333333,0.104166666666667,0.25,0.104166666666667,0.125,0.270833333333333,0.1875,0.145833333333333,0.3125,0.25,0.145833333333333,0.166666666666667
"Catenibacterium_mitsuokai_DSM_15897",0.154761904761905,0.333333333333333,0.285714285714286,0.261904761904762,0.44047619047619,0.392857142857143,0.380952380952381,0.0595238095238095,1,0.380952380952381,0.154761904761905,0.464285714285714,0.55952380952381,0.261904761904762,0.261904761904762,0.178571428571429,0.44047619047619,0.571428571428571,0.214285714285714,0.178571428571429,0.202380952380952,0.0238095238095238,0.452380952380952,0.547619047619048,0.619047619047619
"Clostridium_leptum_DSM_753",0.13953488372093,0.27906976744186,0.186046511627907,0.255813953488372,0.325581395348837,0.290697674418605,0.313953488372093,0.0348837209302326,0.372093023255814,1,0.0813953488372093,0.337209302325581,0.290697674418605,0.465116279069767,0.267441860465116,0.0465116279069767,0.372093023255814,0.255813953488372,0.13953488372093,0.186046511627907,0.13953488372093,0.0232558139534884,0.313953488372093,0.372093023255814,0.418604651162791
"Clostridium_perfringens_ATCC_13124",0.160714285714286,0.196428571428571,0.267857142857143,0.125,0.196428571428571,0.303571428571429,0.196428571428571,0.142857142857143,0.232142857142857,0.125,1,0.160714285714286,0.125,0.178571428571429,0.178571428571429,0.392857142857143,0.357142857142857,0.196428571428571,0.267857142857143,0.214285714285714,0.196428571428571,0.0892857142857143,0.196428571428571,0.214285714285714,0.232142857142857
"Clostridium_scindens_ATCC_35704",0.164179104477612,0.597014925373134,0.492537313432836,0.432835820895522,0.656716417910448,0.313432835820896,0.328358208955224,0.104477611940299,0.582089552238806,0.432835820895522,0.134328358208955,1,0.522388059701492,0.373134328358209,0.298507462686567,0.119402985074627,0.552238805970149,0.388059701492537,0.149253731343284,0.253731343283582,0.119402985074627,0.0447761194029851,0.611940298507463,0.537313432835821,0.686567164179104
"Clostridium_spiroforme_DSM_1552",0.188405797101449,0.434782608695652,0.333333333333333,0.318840579710145,0.478260869565217,0.304347826086957,0.36231884057971,0.0869565217391304,0.681159420289855,0.36231884057971,0.101449275362319,0.507246376811594,1,0.173913043478261,0.304347826086957,0.246376811594203,0.347826086956522,0.536231884057971,0.144927536231884,0.188405797101449,0.115942028985507,0.0579710144927536,0.463768115942029,0.507246376811594,0.63768115942029
"Collinsella_aerofaciens_ATCC_25986",0.0689655172413793,0.137931034482759,0.114942528735632,0.241379310344828,0.218390804597701,0.149425287356322,0.160919540229885,0.0114942528735632,0.252873563218391,0.459770114942529,0.114942528735632,0.28735632183908,0.137931034482759,1,0.114942528735632,0.0804597701149425,0.344827586206897,0.195402298850575,0.0574712643678161,0.0919540229885057,0.0459770114942529,0.0344827586206897,0.160919540229885,0.310344827586207,0.264367816091954
"Coprococcus_eutactus_ATCC_27759",0.255813953488372,0.488372093023256,0.302325581395349,0.465116279069767,0.465116279069767,0.302325581395349,0.372093023255814,0.116279069767442,0.511627906976744,0.534883720930233,0.232558139534884,0.465116279069767,0.488372093023256,0.232558139534884,1,0.186046511627907,0.720930232558139,0.441860465116279,0.186046511627907,0.0930232558139535,0.13953488372093,0.0697674418604651,0.488372093023256,0.511627906976744,0.534883720930233
"Dorea_formicigenerans_ATCC_27755",0.191489361702128,0.191489361702128,0.234042553191489,0.191489361702128,0.191489361702128,0.468085106382979,0.191489361702128,0.25531914893617,0.319148936170213,0.0851063829787234,0.468085106382979,0.170212765957447,0.361702127659574,0.148936170212766,0.170212765957447,1,0.234042553191489,0.25531914893617,0.234042553191489,0.212765957446809,0.170212765957447,0.212765957446809,0.191489361702128,0.276595744680851,0.340425531914894
"Dorea_longicatena_DSM_13814",0.1625,0.4125,0.425,0.325,0.5,0.425,0.425,0.0625,0.4625,0.4,0.25,0.4625,0.3,0.375,0.3875,0.1375,1,0.3375,0.2125,0.2,0.15,0.025,0.475,0.6375,0.6
"Eubacterium_dolichum_DSM_3991",0.136986301369863,0.301369863013699,0.178082191780822,0.273972602739726,0.301369863013699,0.232876712328767,0.26027397260274,0.0821917808219178,0.657534246575342,0.301369863013699,0.150684931506849,0.356164383561644,0.506849315068493,0.232876712328767,0.26027397260274,0.164383561643836,0.36986301369863,1,0.0958904109589041,0.10958904109589,0.0821917808219178,0.0410958904109589,0.328767123287671,0.397260273972603,0.602739726027397
"Lactobacillus_fermentum_IFO_3956",0.18,0.26,0.36,0.12,0.36,0.46,0.3,0.26,0.36,0.24,0.3,0.2,0.2,0.1,0.16,0.22,0.34,0.14,1,0.52,0.62,0.16,0.38,0.32,0.32
