"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",1,0.438775510204082,0.739795918367347,0.413265306122449,0.719387755102041,0.346938775510204,0.285714285714286,0.346938775510204,0.698979591836735,0.438775510204082,0.642857142857143,0.647959183673469,0.591836734693878,0.418367346938776,0.704081632653061,0.61734693877551,0.581632653061224,0.479591836734694,0.489795918367347,0.561224489795918,0.474489795918367,0.403061224489796,0.346938775510204,0.698979591836735,0.469387755102041
"Bacteroides_eggerthii_DSM_20697",0.415458937198068,1,0.840579710144927,0.42512077294686,0.859903381642512,0.400966183574879,0.42512077294686,0.371980676328502,0.589371980676328,0.48792270531401,0.439613526570048,0.565217391304348,0.589371980676328,0.400966183574879,0.671497584541063,0.507246376811594,0.478260869565217,0.386473429951691,0.347826086956522,0.347826086956522,0.371980676328502,0.318840579710145,0.657004830917874,0.570048309178744,0.473429951690821
"Bacteroides_ovatus_ATCC_8483",0.368020304568528,0.441624365482233,1,0.411167512690355,0.862944162436548,0.299492385786802,0.223350253807107,0.195431472081218,0.66751269035533,0.441624365482233,0.428934010152284,0.67005076142132,0.530456852791878,0.423857868020305,0.66751269035533,0.434010152284264,0.626903553299492,0.428934010152284,0.378172588832487,0.347715736040609,0.322335025380711,0.269035532994924,0.406091370558376,0.680203045685279,0.451776649746193
"Bacteroides_pectinophilus_ATCC_43243",0.293478260869565,0.318840579710145,0.58695652173913,1,0.61231884057971,0.376811594202899,0.391304347826087,0.315217391304348,0.77536231884058,0.807971014492754,0.307971014492754,0.789855072463768,0.786231884057971,0.757246376811594,0.760869565217391,0.452898550724638,0.793478260869565,0.496376811594203,0.347826086956522,0.33695652173913,0.304347826086957,0.373188405797101,0.329710144927536,0.699275362318841,0.822463768115942
"Bacteroides_stercoris_ATCC_43183",0.349875930521092,0.441687344913151,0.843672456575682,0.419354838709677,1,0.272952853598015,0.215880893300248,0.213399503722084,0.682382133995037,0.446650124069479,0.43424317617866,0.707196029776675,0.553349875930521,0.421836228287841,0.655086848635236,0.461538461538462,0.662531017369727,0.449131513647643,0.382133995037221,0.337468982630273,0.30272952853598,0.248138957816377,0.389578163771712,0.689826302729528,0.491315136476427
"Bifidobacterium_dentium_ATCC_27678",0.293103448275862,0.357758620689655,0.508620689655172,0.448275862068966,0.474137931034483,1,0.581896551724138,0.375,0.633620689655172,0.5,0.469827586206897,0.5,0.512931034482759,0.478448275862069,0.612068965517241,0.599137931034483,0.560344827586207,0.413793103448276,0.629310344827586,0.495689655172414,0.469827586206897,0.478448275862069,0.452586206896552,0.560344827586207,0.577586206896552
"Bifidobacterium_gallicum_DSM_20093",0.262910798122066,0.413145539906103,0.413145539906103,0.507042253521127,0.408450704225352,0.633802816901408,1,0.460093896713615,0.68075117370892,0.657276995305164,0.39906103286385,0.666666666666667,0.629107981220657,0.544600938967136,0.7981220657277,0.563380281690141,0.63849765258216,0.52112676056338,0.511737089201878,0.427230046948357,0.44131455399061,0.352112676056338,0.422535211267606,0.633802816901408,0.624413145539906
"Campylobacter_concisus_13826",0.303571428571429,0.34375,0.34375,0.388392857142857,0.383928571428571,0.388392857142857,0.4375,1,0.517857142857143,0.424107142857143,0.415178571428571,0.602678571428571,0.544642857142857,0.330357142857143,0.629464285714286,0.540178571428571,0.455357142857143,0.383928571428571,0.415178571428571,0.357142857142857,0.352678571428571,0.334821428571429,0.419642857142857,0.53125,0.450892857142857
"Catenibacterium_mitsuokai_DSM_15897",0.315668202764977,0.28110599078341,0.605990783410138,0.493087557603687,0.633640552995392,0.338709677419355,0.334101382488479,0.267281105990783,1,0.576036866359447,0.400921658986175,0.806451612903226,0.721198156682028,0.509216589861751,0.794930875576037,0.536866359447005,0.753456221198157,0.585253456221198,0.440092165898617,0.334101382488479,0.345622119815668,0.311059907834101,0.255760368663594,0.744239631336406,0.652073732718894
"Clostridium_leptum_DSM_753",0.233062330623306,0.273712737127371,0.471544715447154,0.604336043360434,0.48780487804878,0.314363143631436,0.37940379403794,0.257452574525745,0.677506775067751,1,0.319783197831978,0.70189701897019,0.680216802168022,0.588075880758808,0.688346883468835,0.409214092140921,0.677506775067751,0.479674796747967,0.338753387533875,0.292682926829268,0.265582655826558,0.289972899728997,0.295392953929539,0.682926829268293,0.685636856368564
"Clostridium_perfringens_ATCC_13124",0.354929577464789,0.256338028169014,0.476056338028169,0.23943661971831,0.492957746478873,0.307042253521127,0.23943661971831,0.261971830985915,0.490140845070423,0.332394366197183,1,0.501408450704225,0.425352112676056,0.309859154929577,0.504225352112676,0.698591549295775,0.447887323943662,0.388732394366197,0.416901408450704,0.371830985915493,0.391549295774648,0.267605633802817,0.256338028169014,0.557746478873239,0.36056338028169
"Clostridium_scindens_ATCC_35704",0.267932489451477,0.246835443037975,0.556962025316456,0.459915611814346,0.60126582278481,0.244725738396624,0.29957805907173,0.284810126582278,0.738396624472574,0.546413502109705,0.375527426160338,1,0.624472573839662,0.468354430379747,0.738396624472574,0.521097046413502,0.744725738396624,0.493670886075949,0.358649789029536,0.29746835443038,0.308016877637131,0.274261603375527,0.270042194092827,0.721518987341772,0.563291139240506
"Clostridium_spiroforme_DSM_1552",0.31266846361186,0.328840970350404,0.563342318059299,0.584905660377358,0.601078167115903,0.320754716981132,0.361185983827493,0.328840970350404,0.84366576819407,0.676549865229111,0.407008086253369,0.797843665768194,1,0.574123989218329,0.762803234501348,0.512129380053908,0.711590296495957,0.544474393530997,0.409703504043127,0.323450134770889,0.331536388140162,0.272237196765499,0.30188679245283,0.727762803234501,0.735849056603774
"Collinsella_aerofaciens_ATCC_25986",0.286713286713287,0.29020979020979,0.583916083916084,0.730769230769231,0.594405594405594,0.388111888111888,0.405594405594406,0.258741258741259,0.772727272727273,0.758741258741259,0.384615384615385,0.776223776223776,0.744755244755245,1,0.706293706293706,0.48951048951049,0.79020979020979,0.496503496503497,0.346153846153846,0.381118881118881,0.300699300699301,0.402097902097902,0.276223776223776,0.716783216783217,0.741258741258741
"Coprococcus_eutactus_ATCC_27759",0.292993630573248,0.295116772823779,0.558386411889597,0.445859872611465,0.560509554140127,0.301486199575372,0.360934182590234,0.299363057324841,0.732484076433121,0.53927813163482,0.380042462845011,0.743099787685775,0.600849256900212,0.428874734607219,1,0.53927813163482,0.687898089171974,0.505307855626327,0.371549893842887,0.312101910828025,0.335456475583864,0.280254777070064,0.276008492569002,0.643312101910828,0.556263269639066
"Dorea_formicigenerans_ATCC_27755",0.300995024875622,0.261194029850746,0.425373134328358,0.310945273631841,0.462686567164179,0.345771144278607,0.298507462686567,0.300995024875622,0.579601990049751,0.375621890547264,0.616915422885572,0.614427860696517,0.472636815920398,0.348258706467662,0.631840796019901,1,0.54228855721393,0.388059701492537,0.450248756218905,0.330845771144279,0.328358208955224,0.340796019900498,0.266169154228856,0.529850746268657,0.490049751243781
"Dorea_longicatena_DSM_13814",0.278048780487805,0.241463414634146,0.602439024390244,0.534146341463415,0.651219512195122,0.317073170731707,0.331707317073171,0.248780487804878,0.797560975609756,0.609756097560976,0.38780487804878,0.860975609756098,0.64390243902439,0.551219512195122,0.790243902439024,0.531707317073171,1,0.578048780487805,0.417073170731707,0.35609756097561,0.34390243902439,0.292682926829268,0.278048780487805,0.741463414634146,0.653658536585366
"Eubacterium_dolichum_DSM_3991",0.308196721311475,0.262295081967213,0.554098360655738,0.449180327868852,0.59344262295082,0.314754098360656,0.363934426229508,0.281967213114754,0.832786885245902,0.580327868852459,0.452459016393443,0.767213114754098,0.662295081967213,0.465573770491803,0.780327868852459,0.511475409836066,0.777049180327869,1,0.481967213114754,0.377049180327869,0.445901639344262,0.265573770491803,0.265573770491803,0.718032786885246,0.636065573770492
"Lactobacillus_fermentum_IFO_3956",0.305732484076433,0.229299363057325,0.474522292993631,0.305732484076433,0.490445859872611,0.464968152866242,0.347133757961783,0.296178343949045,0.60828025477707,0.398089171974522,0.471337579617834,0.54140127388535,0.484076433121019,0.315286624203822,0.557324840764331,0.576433121019108,0.544585987261146,0.468152866242038,1,0.56687898089172,0.519108280254777,0.292993630573248,0.28343949044586,0.557324840764331,0.490445859872611
"Lactobacillus_helveticus_DPC_4571",0.476190476190476,0.311688311688312,0.593073593073593,0.402597402597403,0.588744588744589,0.497835497835498,0.393939393939394,0.346320346320346,0.627705627705628,0.467532467532468,0.571428571428571,0.61038961038961,0.519480519480519,0.471861471861472,0.636363636363636,0.575757575757576,0.632034632034632,0.497835497835498,0.770562770562771,1,0.701298701298701,0.333333333333333,0.255411255411255,0.640692640692641,0.484848484848485
"Lactobacillus_johnsonii_NCC_533",0.447115384615385,0.370192307692308,0.610576923076923,0.403846153846154,0.586538461538462,0.524038461538462,0.451923076923077,0.379807692307692,0.721153846153846,0.471153846153846,0.668269230769231,0.701923076923077,0.591346153846154,0.413461538461538,0.759615384615385,0.634615384615385,0.677884615384615,0.653846153846154,0.783653846153846,0.778846153846154,1,0.370192307692308,0.298076923076923,0.730769230769231,0.504807692307692
"Methanosphaera_stadtmanae_DSM_3091",0.343478260869565,0.28695652173913,0.460869565217391,0.447826086956522,0.434782608695652,0.482608695652174,0.326086956521739,0.326086956521739,0.58695652173913,0.465217391304348,0.41304347826087,0.565217391304348,0.439130434782609,0.5,0.573913043478261,0.595652173913043,0.521739130434783,0.352173913043478,0.4,0.334782608695652,0.334782608695652,1,0.304347826086957,0.48695652173913,0.504347826086956
"Parabacteroides_johnsonii_DSM_18315",0.299559471365639,0.599118942731278,0.704845814977974,0.400881057268722,0.691629955947137,0.462555066079295,0.39647577092511,0.414096916299559,0.488986784140969,0.480176211453745,0.400881057268722,0.563876651982379,0.493392070484582,0.348017621145374,0.572687224669604,0.47136563876652,0.502202643171806,0.356828193832599,0.392070484581498,0.259911894273128,0.273127753303965,0.308370044052863,1,0.550660792951542,0.466960352422908
"Ruminococcus_gnavus_ATCC_29149",0.318604651162791,0.274418604651163,0.623255813953488,0.448837209302326,0.646511627906977,0.302325581395349,0.313953488372093,0.276744186046512,0.751162790697674,0.586046511627907,0.46046511627907,0.795348837209302,0.627906976744186,0.476744186046512,0.704651162790698,0.495348837209302,0.706976744186047,0.509302325581395,0.406976744186047,0.344186046511628,0.353488372093023,0.26046511627907,0.290697674418605,1,0.551162790697674
"Subdoligranulum_variabile_DSM_15176",0.252747252747253,0.269230769230769,0.489010989010989,0.623626373626374,0.543956043956044,0.368131868131868,0.365384615384615,0.277472527472527,0.777472527472527,0.695054945054945,0.351648351648352,0.733516483516483,0.75,0.582417582417582,0.71978021978022,0.541208791208791,0.736263736263736,0.532967032967033,0.423076923076923,0.307692307692308,0.288461538461538,0.318681318681319,0.291208791208791,0.651098901098901,1
