"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",1,0.730580825752274,0.747375787263821,0.653603918824353,0.748075577326802,0.659902029391183,0.483554933519944,0.725682295311407,0.596920923722883,0.6074177746676,0.696990902729181,0.614415675297411,0.608817354793562,0.557732680195941,0.611616515045486,0.657802659202239,0.646606018194542,0.492652204338698,0.625612316305108,0.602519244226732,0.553533939818055,0.622813156053184,0.736179146256123,0.666899930020994,0.622813156053184
"Bacteroides_eggerthii_DSM_20697",0.581615598885794,1,0.896378830083565,0.600557103064067,0.889136490250696,0.63008356545961,0.523676880222841,0.607799442896936,0.589972144846797,0.605013927576602,0.640111420612813,0.626183844011142,0.614484679665738,0.527019498607242,0.647910863509749,0.684679665738162,0.637883008356546,0.445125348189415,0.564345403899721,0.521448467966574,0.47966573816156,0.486908077994429,0.839554317548747,0.644011142061281,0.643454038997215
"Bacteroides_ovatus_ATCC_8483",0.555671175858481,0.837148803329865,1,0.557232049947971,0.847034339229969,0.609261186264308,0.510405827263267,0.561394380853278,0.553590010405827,0.566077003121748,0.612903225806452,0.581685744016649,0.570759625390219,0.484911550468262,0.592091571279917,0.639958376690947,0.602497398543184,0.411550468262227,0.539021852237253,0.489594172736733,0.460457856399584,0.465660770031217,0.815296566077003,0.645161290322581,0.592091571279917
"Bacteroides_pectinophilus_ATCC_43243",0.623082054703135,0.719146097398266,0.71447631754503,1,0.745163442294863,0.752501667778519,0.631087391594396,0.695130086724483,0.71847898599066,0.773182121414276,0.701134089392929,0.807204803202135,0.753835890593729,0.688458972648432,0.763842561707805,0.770513675783856,0.790527018012008,0.559039359573049,0.645763842561708,0.587725150100067,0.57638425617078,0.605737158105404,0.804536357571714,0.835223482321548,0.825216811207472
"Bacteroides_stercoris_ATCC_43183",0.586074561403509,0.875,0.892543859649123,0.612390350877193,1,0.628289473684211,0.537828947368421,0.600877192982456,0.611842105263158,0.606359649122807,0.652412280701754,0.651315789473684,0.62390350877193,0.53234649122807,0.616776315789474,0.691885964912281,0.645833333333333,0.452850877192982,0.56030701754386,0.509868421052632,0.47094298245614,0.506578947368421,0.880482456140351,0.694078947368421,0.661732456140351
"Bifidobacterium_dentium_ATCC_27678",0.567047504509922,0.680096211665664,0.70414912808178,0.678292242934456,0.689116055321708,1,0.678893565844859,0.644618159951894,0.687312086590499,0.678292242934456,0.69573060733614,0.653638003607937,0.660252555622369,0.603728202044498,0.695129284425737,0.752254960914011,0.692723992784125,0.505712567648827,0.707757065544197,0.649428743235117,0.662657847263981,0.605532170775707,0.753457606734817,0.725796752856284,0.70414912808178
"Bifidobacterium_gallicum_DSM_20093",0.485252808988764,0.660112359550562,0.688904494382023,0.664325842696629,0.688904494382023,0.792837078651685,1,0.575842696629214,0.721910112359551,0.722612359550562,0.642556179775281,0.690308988764045,0.724719101123595,0.605337078651685,0.726825842696629,0.746488764044944,0.701544943820225,0.639044943820225,0.610955056179775,0.566011235955056,0.585674157303371,0.512640449438202,0.739466292134832,0.715589887640449,0.73876404494382
"Campylobacter_concisus_13826",0.654258675078864,0.688328075709779,0.680757097791798,0.657413249211356,0.691482649842271,0.676340694006309,0.517350157728707,1,0.586750788643533,0.607570977917981,0.629652996845426,0.633438485804416,0.620820189274448,0.54006309148265,0.628391167192429,0.678864353312303,0.62018927444795,0.44416403785489,0.606940063091483,0.560252365930599,0.505993690851735,0.635331230283912,0.766561514195584,0.642902208201893,0.615141955835962
"Catenibacterium_mitsuokai_DSM_15897",0.538510101010101,0.668560606060606,0.671717171717172,0.679924242424242,0.704545454545455,0.721590909090909,0.648989898989899,0.587121212121212,1,0.779671717171717,0.76010101010101,0.751262626262626,0.850378787878788,0.655934343434343,0.78030303030303,0.786616161616162,0.758838383838384,0.674242424242424,0.708964646464647,0.644570707070707,0.670454545454545,0.468434343434343,0.731060606060606,0.8125,0.793560606060606
"Clostridium_leptum_DSM_753",0.561448900388098,0.702457956015524,0.703751617076326,0.749676584734799,0.715394566623545,0.729624838292367,0.665588615782665,0.622897800776197,0.798835705045278,1,0.701811125485123,0.794954721862872,0.796248382923674,0.646183699870634,0.804657179818887,0.780724450194049,0.79366106080207,0.604786545924968,0.674644243208279,0.61254851228978,0.606727037516171,0.505174644243208,0.780077619663648,0.830530401034929,0.826649417852523
