"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",1,0.889033942558747,0.913838120104439,0.800261096605744,0.900783289817232,0.805483028720627,0.593994778067885,0.842036553524804,0.776762402088773,0.766318537859008,0.840731070496084,0.806788511749347,0.774151436031332,0.716710182767624,0.787206266318538,0.825065274151436,0.797650130548303,0.633159268929504,0.751958224543081,0.753263707571802,0.721932114882507,0.761096605744125,0.890339425587467,0.835509138381201,0.766318537859008
"Bacteroides_eggerthii_DSM_20697",0.672260612043435,1,0.942744323790721,0.699901283316881,0.931885488647581,0.725567620927937,0.590325765054294,0.690029615004936,0.724580454096742,0.720631786771964,0.769990128331688,0.74827245804541,0.740375123395854,0.671273445212241,0.745310957551826,0.779861796643633,0.745310957551826,0.585389930898322,0.697926949654492,0.669299111549852,0.629812438302073,0.593287265547878,0.897334649555775,0.767028627838105,0.742349457058243
"Bacteroides_ovatus_ATCC_8483",0.639853747714808,0.872943327239488,1,0.655393053016453,0.880255941499086,0.706581352833638,0.563985374771481,0.642595978062157,0.673674588665448,0.673674588665448,0.722120658135283,0.685557586837294,0.680987202925046,0.615173674588665,0.697440585009141,0.726691042047532,0.697440585009141,0.537477148080439,0.659049360146252,0.627056672760512,0.595063985374771,0.56672760511883,0.86563071297989,0.743144424131627,0.686471663619744
"Bacteroides_pectinophilus_ATCC_43243",0.712790697674419,0.824418604651163,0.833720930232558,1,0.845348837209302,0.85,0.682558139534884,0.827906976744186,0.817441860465116,0.854651162790698,0.82906976744186,0.886046511627907,0.832558139534884,0.786046511627907,0.841860465116279,0.872093023255814,0.856976744186047,0.684883720930233,0.762790697674419,0.732558139534884,0.727906976744186,0.725581395348837,0.893023255813953,0.933720930232558,0.906976744186046
"Bacteroides_stercoris_ATCC_43183",0.675808031341822,0.924583741429971,0.943192948090108,0.712047012732615,1,0.72771792360431,0.581782566111655,0.693437806072478,0.717923604309501,0.705190989226249,0.765915768854065,0.749265426052889,0.734573947110676,0.674828599412341,0.726738491674829,0.781586679725759,0.75024485798237,0.577864838393732,0.686581782566112,0.653281096963761,0.614103819784525,0.618021547502449,0.93535749265426,0.794319294809011,0.753183153770813
"Bifidobacterium_dentium_ATCC_27678",0.649473684210526,0.773684210526316,0.813684210526316,0.769473684210526,0.782105263157895,1,0.727368421052632,0.750526315789474,0.808421052631579,0.777894736842105,0.812631578947368,0.786315789473684,0.77578947368421,0.708421052631579,0.806315789473684,0.864210526315789,0.778947368421053,0.672631578947368,0.82,0.765263157894737,0.774736842105263,0.695789473684211,0.835789473684211,0.838947368421053,0.821052631578947
"Bifidobacterium_gallicum_DSM_20093",0.594771241830065,0.781699346405229,0.806535947712418,0.767320261437909,0.776470588235294,0.903267973856209,1,0.734640522875817,0.858823529411765,0.828758169934641,0.789542483660131,0.837908496732026,0.841830065359477,0.743790849673203,0.882352941176471,0.879738562091503,0.809150326797386,0.773856209150327,0.776470588235294,0.73202614379085,0.750326797385621,0.618300653594771,0.830065359477124,0.847058823529412,0.850980392156863
"Campylobacter_concisus_13826",0.723905723905724,0.784511784511784,0.789001122334456,0.799102132435466,0.794612794612795,0.800224466891134,0.630751964085297,1,0.765432098765432,0.769921436588103,0.805836139169472,0.829405162738496,0.790123456790123,0.68013468013468,0.791245791245791,0.851851851851852,0.7665544332211,0.630751964085297,0.773288439955107,0.702581369248036,0.692480359147026,0.719416386083053,0.864197530864197,0.829405162738496,0.78675645342312
"Catenibacterium_mitsuokai_DSM_15897",0.649563318777293,0.801310043668122,0.804585152838428,0.767467248908297,0.800218340611354,0.838427947598253,0.717248908296943,0.744541484716157,1,0.835152838427948,0.839519650655022,0.847161572052402,0.911572052401747,0.748908296943231,0.862445414847162,0.87882096069869,0.818777292576419,0.770742358078603,0.814410480349345,0.77292576419214,0.7882096069869,0.631004366812227,0.842794759825327,0.90174672489083,0.882096069868996
"Clostridium_leptum_DSM_753",0.65586592178771,0.815642458100559,0.823463687150838,0.82122905027933,0.804469273743017,0.825698324022346,0.708379888268156,0.766480446927374,0.854748603351955,1,0.820111731843575,0.886033519553073,0.865921787709497,0.753072625698324,0.852513966480447,0.880446927374302,0.855865921787709,0.732960893854749,0.802234636871508,0.746368715083799,0.747486033519553,0.635754189944134,0.863687150837989,0.915083798882682,0.901675977653631
