"","Alistipes_putredinis_DSM_17216","Bacteroides_eggerthii_DSM_20697","Bacteroides_ovatus_ATCC_8483","Bacteroides_pectinophilus_ATCC_43243","Bacteroides_stercoris_ATCC_43183","Bifidobacterium_dentium_ATCC_27678","Bifidobacterium_gallicum_DSM_20093","Campylobacter_concisus_13826","Catenibacterium_mitsuokai_DSM_15897","Clostridium_leptum_DSM_753","Clostridium_perfringens_ATCC_13124","Clostridium_scindens_ATCC_35704","Clostridium_spiroforme_DSM_1552","Collinsella_aerofaciens_ATCC_25986","Coprococcus_eutactus_ATCC_27759","Dorea_formicigenerans_ATCC_27755","Dorea_longicatena_DSM_13814","Eubacterium_dolichum_DSM_3991","Lactobacillus_fermentum_IFO_3956","Lactobacillus_helveticus_DPC_4571","Lactobacillus_johnsonii_NCC_533","Methanosphaera_stadtmanae_DSM_3091","Parabacteroides_johnsonii_DSM_18315","Ruminococcus_gnavus_ATCC_29149","Subdoligranulum_variabile_DSM_15176"
"Alistipes_putredinis_DSM_17216",0,0.416666666666667,0.125,0.208333333333333,0.166666666666667,0.291666666666667,0.125,0.25,0.0833333333333333,0.125,0.125,0.0833333333333333,0.0416666666666667,0.125,0.0833333333333333,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.208333333333333,0.208333333333333,0.125,0.0416666666666667,0.375,0.166666666666667,0.166666666666667
"Bacteroides_eggerthii_DSM_20697",0.0176991150442478,0,0.123893805309735,0.238938053097345,0.0619469026548673,0.194690265486726,0,0.292035398230089,0.0353982300884956,0,0.0884955752212389,0.0707964601769911,0.274336283185841,0.0442477876106195,0,0.0176991150442478,0.00884955752212389,0,0.0973451327433628,0.079646017699115,0.0619469026548673,0.0176991150442478,0.0530973451327434,0.0530973451327434,0.300884955752212
"Bacteroides_ovatus_ATCC_8483",0,0.032967032967033,0,0,0.0769230769230769,0,0,0.010989010989011,0.0659340659340659,0,0.010989010989011,0.131868131868132,0.032967032967033,0.0659340659340659,0,0,0.010989010989011,0.010989010989011,0.010989010989011,0.010989010989011,0.010989010989011,0,0.0989010989010989,0.032967032967033,0.0769230769230769
"Bacteroides_pectinophilus_ATCC_43243",0,0.125,0.21875,0,0.21875,0.0625,0,0.03125,0.03125,0.03125,0.0625,0.0625,0.34375,0.0625,0,0,0.03125,0.03125,0.0625,0.0625,0.03125,0.03125,0.15625,0.15625,0.40625
"Bacteroides_stercoris_ATCC_43183",0,0.0144927536231884,0.159420289855072,0,0,0.0144927536231884,0,0.0289855072463768,0.0579710144927536,0,0.0144927536231884,0.072463768115942,0.0144927536231884,0.0579710144927536,0,0,0,0.0144927536231884,0.0289855072463768,0.0579710144927536,0.0434782608695652,0,0.0434782608695652,0.0144927536231884,0.0579710144927536
"Bifidobacterium_dentium_ATCC_27678",0.0277777777777778,0.138888888888889,0.138888888888889,0.111111111111111,0.0555555555555556,0,0.0833333333333333,0,0,0.111111111111111,0.0277777777777778,0.0277777777777778,0.166666666666667,0.0277777777777778,0,0,0.0277777777777778,0,0.111111111111111,0.166666666666667,0.138888888888889,0,0.25,0.0555555555555556,0.333333333333333
"Bifidobacterium_gallicum_DSM_20093",0.0444444444444444,0.0666666666666667,0.177777777777778,0.355555555555556,0.0444444444444444,0.222222222222222,0,0.222222222222222,0.0888888888888889,0.0444444444444444,0.0888888888888889,0.0666666666666667,0.355555555555556,0.133333333333333,0.0222222222222222,0.0444444444444444,0.0222222222222222,0.0444444444444444,0.155555555555556,0.155555555555556,0.111111111111111,0.0222222222222222,0.0888888888888889,0.0222222222222222,0.377777777777778
"Campylobacter_concisus_13826",0.0606060606060606,0.181818181818182,0.121212121212121,0.0909090909090909,0.151515151515152,0.151515151515152,0.0303030303030303,0,0.0606060606060606,0.0606060606060606,0.0909090909090909,0.0909090909090909,0.242424242424242,0.0909090909090909,0.0606060606060606,0.0303030303030303,0.0909090909090909,0.0303030303030303,0.121212121212121,0.121212121212121,0.0606060606060606,0,0.272727272727273,0.181818181818182,0.242424242424242
"Catenibacterium_mitsuokai_DSM_15897",0,0.0645161290322581,0.032258064516129,0,0.032258064516129,0,0,0,0,0,0,0.032258064516129,0.0645161290322581,0.032258064516129,0,0,0,0.032258064516129,0.032258064516129,0.0645161290322581,0.0645161290322581,0,0.032258064516129,0,0
"Clostridium_leptum_DSM_753",0.0597014925373134,0.537313432835821,0.253731343283582,0.611940298507463,0.0597014925373134,0.134328358208955,0.328358208955224,0.17910447761194,0.373134328358209,0,0.0447761194029851,0.373134328358209,0.582089552238806,0.0298507462686567,0.358208955223881,0.0746268656716418,0.358208955223881,0.373134328358209,0.0447761194029851,0.104477611940299,0.0895522388059701,0.0447761194029851,0.73134328358209,0.373134328358209,0.746268656716418
