MGlcn65_rl_e	MGlcn100_rl_e
MGlcn138_rl_e	fuc_L_e
dcmp_c	dcyt_c
s17bp_c	dhap_c
MGlcn147_rl_e	f1a_rl_e
cys_L_c	tsul_c
so4_c	so4_e
h2o_c	ttdcea_c
so4_c	apoACP_c
MGlcn127_rl_e	acnam_e
k_c	h_e
nadh_c	udpg_c
so4_c	h_e
MGlcn5_rl_e	acnam_e
zn2_c	biomass_c
g3p_c	h_c
amp_c	dadp_c
MGlcn188_e	MGlcn186_e
dgtp_c	pi_c
fru_e	h_c
nicrnt_c	dnad_c
MGlcn157_rl_e	gal_e
tyr_L_c	biomass_c
h_c	fad_c
MGlcn120_e	acnam_e
udp_c	myrstca1_c
MGlcn75_e	MGlcn25_e
cdpdihdecg_c	pgpi16_c
salcn_e	pyr_c
h2o_e	MGlcn64_rl_e
h2o_e	MGlcn164_e
MGlcn195_e	MGlcn22_e
dhor_S_c	q8h2_c
dhlpro_c	h_c
cl_c	ppi_c
dhlam_c	h_c
h2o_e	MGlcn79_rl_e
MGlcn42_rl_e	fuc_L_e
ocdcaACP_c	pa180_c
MGlcn196_e	gal_e
sT_antigen_rl_e	acnam_e
dkdi_c	5dgclur_c
nadp_c	trdox_c
MGlcn31_rl_e	gal_e
asp_L_c	oaa_c
gln_L_c	pyr_c
fa6_c	ihdcoa_c
glu5sa_c	nadph_c
csn_e	h_c
dtdp_c	amp_c
pro_L_c	h_c
glu_L_c	trp_L_c
2agpg140_c	ttdca_c
h2o_c	2obut_c
h2o_e	MGlcn111_rl_e
glu_D_c	glu_L_c
PGP_c	apoACP_c
MGlcn128_e	fuc_L_e
g6p_B_c	nadph_c
akg_c	nadp_c
utp_c	biomass_c
xan_c	ppi_c
MGlcn59_rl_e	MGlcn127_rl_e
MGlcn93_rl_e	fuc_L_e
2ins_c	dkdi_c
atp_c	camp_c
coa_c	h2o_c
MGlcn128_rl_e	fuc_L_e
gly_c	thf_c
atp_c	uaaAgtla_c
MGlcn178_e	acnam_e
asn_L_c	ppi_c
h2o_c	2dda7p_c
glygln_e	adp_c
MGlcn29_rl_e	MGlcn72_rl_e
ohpb_c	phthr_c
4abz_c	dhpt_c
h2o_c	2dhp_c
5mthglu_c	amet_c
MGlcn71_e	gal_e
h2o_c	nicrns_c
g3pc_c	h_c
MGlcn169_e	MGlcn171_e
drib_e	adp_c
glu_L_c	apoACP_c
trp_L_c	h_c
glc_bD_c	h2o_c
MGlcn107_rl_e	gal_e
paai17_c	cdpdaihpdecg_c
