s17bp_c	dhap_c
4mpentACP_c	ACP_c
cys_L_c	tsul_c
acamoxm_c	h2o_c
so4_c	so4_e
nad_c	sucsal_c
h2o_c	ttdcea_c
so4_c	apoACP_c
k_c	h_e
nadh_c	udpg_c
so4_c	h_e
atp_c	pa140_c
zn2_c	biomass_c
g3p_c	h_c
amp_c	dadp_c
3hpalmACP_c	nadph_c
dgtp_c	pi_c
nicrnt_c	dnad_c
adocbl_c	cbi_c
tyr_L_c	biomass_c
h_c	fad_c
nmn_c	nh4_c
4m3ohexACP_c	nadp_c
h_c	agdpcbi_c
4abut_c	h_e
cdpdihdecg_c	pgpi16_c
salcn_e	pyr_c
cholate_e	nadh_c
ai17tcaacgam_c	biomass_c
m12dsglyc_c	h_c
5m3ohexACP_c	nadp_c
dhor_S_c	q8h2_c
cl_c	ppi_c
dhlam_c	h_c
ocdcaACP_c	pa180_c
gthrd_c	biomass_c
co2_c	pyr_c
12m3otridecACP_c	12m3htridecACP_c
nadp_c	trdox_c
nadp_c	gln_L_c
asp_L_c	oaa_c
peai17_c	pi_c
nad_c	ac_c
glu5sa_c	nadph_c
h2o_c	2ombzl_c
pheme_c	cbi_c
acbdma14gapuc_c	cmp_c
dtdp_c	amp_c
accoa_c	3ohcoa_c
pro_L_c	h_c
cbi_c	pppi_c
glu_L_c	trp_L_c
2agpg140_c	ttdca_c
clpni17_c	PGPm1_c
glu_D_c	glu_L_c
PGP_c	apoACP_c
akg_c	nadp_c
utp_c	biomass_c
xan_c	ppi_c
coa_c	h2o_c
btcoa_c	fdxox_c
gly_c	thf_c
thmpp_c	dmbzid_c
atp_c	uaaAgtla_c
asn_L_c	ppi_c
h2o_c	2dda7p_c
ohpb_c	phthr_c
diglcpgai17_c	ai17tca1_c
h2o_c	2dhp_c
clpn180_c	PGPm1_c
12m3omyrsACP_c	nadp_c
h_c	8m3hnonACP_c
g3pc_c	h_c
h_c	13m3omyrsACP_c
trp_L_c	h_c
glu_L_c	apoACP_c
paai17_c	cdpdaihpdecg_c
diglcpgi17_c	udpg_c
pant_R_c	amp_c
2hdecg3p_c	glyc3p_c
2c25dho_c	co2_c
leu_L_c	adp_c
8m3hnonACP_c	h2o_c
h2o_c	oxa_c
glyc_c	glyald_c
atp_c	10fthf_c
h_c	pei17_c
pep_c	malt6p_c
fdxox_c	accoa_c
glyc45tcaala_D_c	h_c
q8_c	cbi_c
malACP_c	malcoa_c
nadh_c	h2o_c
clpnai17_c	biomass_c
h2o_c	4ampm_c
ppap_c	atp_c
3hbcoa_R_c	3hbcoa_c
cdpdodecg_c	ps180_c
orot5p_c	co2_c
dctp_c	ppi_c
pi_e	h_c
glyald_c	h_c
met_L_c	metala_c
glyc45tcaglc_c	biomass_c
h_c	prl45tca_c
2agpg180_c	g3pg_c
ai17tcaala_D_c	h_c
pa120_c	cdpdddecg_c
uacgam_c	ai17tcaacgam_c
inost_c	2ins_c
urea_c	urea_e
asp_L_c	nh4_c
histd_c	h_c
coa_c	malt_c
12mmyrsACP_c	ACP_c
ca2_c	biomass_c
nadp_c	mlthf_c
mnl1p_c	f6p_c
cu2_c	PGPm1_c
gly_c	biomass_c
3hdcoa_c	h2o_c
pgpi17_c	pgi17_c
asp_L_c	25aics_c
1agpe180_c	h_c
etoh_c	h_c
hxan_c	imp_c
glyc3p_c	cmp_c
pan4p_c	ppi_c
atp_c	nadp_c
ACP_c	ppi_c
na1_e	h_e
malACP_c	15m3opalmACP_c
arg_L_e	h_c
udpg_c	diglcpg180_c
h_c	12m3omyrsACP_c
2ddecg3p_c	h_c
ppgpp_c	gdp_c
1agpg181_c	g3pg_c
i17tcaacgam_c	apoACP_c
dgdp_c	atp_c
atp_c	ugmd_c
ctp_c	cdpdipdecg_c
spmd_e	spmd_c
pi_c	orn_c
ump_c	adp_c
ai17tcaglc_c	biomass_c
nadh_c	aacald_c
pgp160_c	pi_c
mg2_c	biomass_c
4m3hhexACP_c	nadph_c
2ombzl_c	h_c
cys_L_c	4ppcys_c
sttcaglc_c	h_c
ahdt_c	h_c
pb_c	pb_e
trdrd_c	h_c
nadph_c	7m3hocACP_c
td2coa_c	3htdcoa_c
myrsACP_c	co2_c
arg_L_c	cbi_c
h2o_c	3pg_c
dctp_c	dutp_c
PGPm1_c	glyc45tca_c
atp_c	cu2_e
atp_c	dump_c
clpni17_c	adp_c
ivcoa_c	4mop_c
atp_c	prbatp_c
dhap_c	fdp_c
val_L_e	val_L_c
gthrd_c	dmbzid_c
his_L_c	alahis_c
citr_L_c	cbp_c
hxcoa_c	coa_c
ACP_c	malACP_c
uamr_c	adp_c
acglu_c	adp_c
clpn180_c	adp_c
dhor_S_c	orot_c
accoa_c	pyr_c
his_L_c	cbi_c
7m3hocACP_c	7mtoct2eACP_c
3hoctACP_c	toct2eACP_c
12daihdglyc_c	adp_c
glytyr_c	tyr_L_c
1tdecg3p_c	glyc3p_c
malACP_c	3ooctACP_c
nicrnt_c	5prdmbz_c
coa_c	nadh_c
datp_c	ppi_c
1agpe141_c	g3pe_c
mn2_c	cbi_c
coa_c	apoACP_c
h2o_c	pgai15_c
dtdp_c	adp_c
1hdec9eg3p_c	hdcea_c
ala_D_c	ai17tcaala_D_c
citr_L_c	argsuc_c
air_c	nadh_c
sttcaala_D_c	biomass_c
atp_c	paai17_c
dgdp_c	amp_c
10m3oundecACP_c	nadp_c
for_c	h_e
prl45tca_c	amp_c
m12dahglyc_c	udpg_c
h_c	14m3opalmACP_c
cu2_c	adp_c
i17tcaala_D_c	biomass_c
h_c	e4p_c
nadh_c	3htdcoa_c
9m3hdcaACP_c	h_c
asp_L_c	fum_c
3hoctaACP_c	toctd2eACP_c
12ditdglyc_c	h_c
lys_L_c	pi_c
14mpentdecACP_c	ihdcoa_c
2dmmq8_e	2dmmq8_c
adhlam_c	lpam_c
pei17_c	pi_c
fdxrd_c	fdxox_c
nadp_c	ppi_c
ddcacoa_c	3otdcoa_c
2p4c2me_c	cmp_c
atp_c	pydx5p_c
9mdcaACP_c	co2_c
accoa_c	3oocoa_c
ai17tca1_c	cbi_c
gua_c	dgsn_c
3hdcoa_c	nadh_c
lcts_c	gal_c
h_c	dnad_c
n6all26d_c	ac_c
4abut_c	4abutn_c
fum_c	25aics_c
nadph_c	3hddecACP_c
6m3hocACP_c	nadph_c
cobalt2_c	ppi_c
h_c	sucsal_c
6mtoct2eACP_c	6mocACP_c
h_c	10mddcaACP_c
dhna_c	2dmmql8_c
h_c	pe180_c
h2o_c	btn_c
h2o_c	asn_L_c
8mdcaACP_c	co2_c
diglcpg180_c	sttca1_c
h_e	fol_c
10fthf_c	thf_c
pgp120_c	pg120_c
2agpe160_c	hdca_c
tyr_L_c	4hba_c
pb_c	adp_c
h_c	4m3hhexACP_c
fe3_c	PGPm1_c
cl_c	cl_e
2dmmq8_c	nad_c
h_c	3hmbcoa_c
2mahmp_c	thmmp_c
btoh_c	h_c
ddcaACP_c	3omrsACP_c
xyl_D_e	pi_c
pi_c	gua_c
psi17_c	co2_c
clpn160_c	pg160_c
pe180_c	ppi_c
grdp_c	ppi_c
h2o_c	glyb_c
4ppan_c	amp_c
malACP_c	10m3oundecACP_c
k_c	pi_c
so4_c	pi_c
adocbl_c	apoACP_c
nad_c	tag6p_D_c
fad_c	ppi_c
glyald_c	nad_c
2dmmql8_c	succ_c
thf_c	PGPm1_c
uaagmda_c	uaagtmda_c
accoa_c	3c3hmp_c
hg2_c	hg2_e
12dixdglyc_c	h_c
nadp_c	3odecACP_c
10fthf_c	biomass_c
glu_L_c	orn_c
2dhp_c	nadp_c
met_L_c	dmbzid_c
3mop_c	2mbcoa_c
3omrsACP_c	nadp_c
ibcoa_c	2mpropACP_c
h2o_c	dha_c
trdrd_c	ac_c
pppi_c	atp_c
2omhmbl_c	h_c
h2o_c	udp_c
pg140_c	clpn140_c
ile_L_c	glu_L_c
2ommbl_c	pi_c
2mbutACP_c	2mbcoa_c
fdp_c	g3p_c
eig3p_c	imacp_c
h2o_c	pgi16_c
his_L_c	h2o_c
glyc45tca_c	cbi_c
octeACP_c	1odec11eg3p_c
gam_e	pyr_c
pg160_c	clpn160_c
utp_c	atp_c
atp_c	ugmda_c
h_c	9m3hdcaACP_c
prbatp_c	h_c
sttcaala_D_c	dmbzid_c
gln_L_c	amp_c
fmn_c	ppi_c
coa_c	ppcoa_c
sttca1_c	sttcaacgam_c
nad_c	dtdp_c
nad_c	fdxox_c
cdpdodec11eg_c	cmp_c
PGP_c	pi_c
alathr_c	thr_L_c
h2o_c	citr_L_c
co2_e	co2_c
3mob_c	coa_c
ac_c	trdrd_c
prlp_c	h_c
paai15_c	ppi_c
3mob_c	val_L_c
pydam_c	h_c
orot_c	ppi_c
ppi_c	asp_L_c
alagly_c	gly_c
dgdp_c	adp_c
h_c	12m3otridecACP_c
ptrc_c	ppi_c
imp_c	fprica_c
glu_L_c	pi_c
1ipdecg3p_c	coa_c
tyr_L_c	amp_c
q8_c	apoACP_c
mqn7_c	2dmmq7_c
fe3_c	adp_c
q8_c	h_e
i17tca1_c	biomass_c
h_c	4abut_e
uacmam_c	udp_c
3hddcoa_c	h_c
ficytC_c	pyr_c
12dgr140_c	adp_c
2dr5p_c	acald_c
acmalt_c	malt_c
12dgr140_c	pa140_c
xtsn_c	r1p_c
gln_L_c	PGPm1_c
mn2_e	mn2_c
h_c	m12dihglyc_c
2agpg161_c	h_c
tcam_c	cbi_c
ai17tca1_c	h2o_c
26dap_M_c	pi_c
dhna_c	ppi_c
asp_L_c	succ_c
8m3hdcaACP_c	8mtdec2eACP_c
malACP_c	14m3opentdecACP_c
atp_c	lcts_c
succ_e	h_c
ura_c	uri_c
lipoate_c	ppi_c
pgai17_c	clpnai17_c
2mbutACP_c	ACP_c
cdpdaipdecg_c	cmp_c
alagln_c	ala_L_c
glyc3p_c	1tdecg3p_c
pyr_c	accoa_c
thf_c	adp_c
man_e	pyr_c
zn2_c	PGPm1_c
pgi17_c	glyc_c
3c4mop_c	nad_c
acon_C_c	cit_c
atp_c	pai14_c
udp_c	m12dahglyc_c
histl_L_c	histd_c
pgp141_c	pi_c
akg_c	34hpp_c
na1_e	pi_c
h_c	utp_c
fgam_c	pi_c
tyr_L_c	PGPm1_c
dnad_c	h_c
pydx_c	adp_c
i17tcaacgam_c	pi_c
pgi17_c	ppi_c
