dcmp_c	dcyt_c
s17bp_c	dhap_c
4mpentACP_c	ACP_c
raffin_e	raffin_c
cys_L_c	tsul_c
MGlcn16_rl_e	acgam_e
so4_c	so4_e
nad_c	sucsal_c
h2o_c	ttdcea_c
so4_c	apoACP_c
so4_c	h_e
diglcpgi15_c	h_c
zn2_c	biomass_c
nadp_c	34hpp_c
g3p_c	h_c
amp_c	dadp_c
3hpalmACP_c	nadph_c
dgtp_c	pi_c
fru_e	h_c
nicrnt_c	dnad_c
MGlcn157_rl_e	gal_e
tyr_L_c	biomass_c
h2o_c	4r5au_c
h_c	fad_c
adcobhex_c	adocbip_c
nmn_c	nh4_c
succ_c	acac_c
4m3ohexACP_c	nadp_c
h_c	agdpcbi_c
4abut_c	h_e
cdpdihdecg_c	pgpi16_c
salcn_e	pyr_c
MGlcn195_e	MGlcn22_e
5m3ohexACP_c	nadp_c
dhor_S_c	q8h2_c
cl_c	ppi_c
2dmmq8_c	glx_c
h_c	ptrc_c
dhlam_c	h_c
h2o_e	MGlcn79_rl_e
MGlcn18_rl_e	acgam_e
ocdcaACP_c	pa180_c
diglcpg160_c	h_c
MGlcn196_e	gal_e
co2_c	pyr_c
dkdi_c	5dgclur_c
12m3otridecACP_c	12m3htridecACP_c
nadp_c	trdox_c
nadp_c	gln_L_c
MGlcn31_rl_e	gal_e
melib_c	melib_e
asp_L_c	oaa_c
gln_L_c	pyr_c
nadp_c	l2a6o_c
nad_c	ac_c
MGlcn149_e	acgam_e
fa6_c	ihdcoa_c
glu5sa_c	nadph_c
acbdma14gapuc_c	cmp_c
h_c	applp_c
frdp_c	ggdp_c
accoa_c	3ohcoa_c
dtdp_c	amp_c
pro_L_c	h_c
cbi_c	pppi_c
glu_L_c	trp_L_c
2agpg140_c	ttdca_c
glu_D_c	glu_L_c
PGP_c	apoACP_c
akg_c	nadp_c
utp_c	biomass_c
xan_c	ppi_c
2ins_c	dkdi_c
MGlcn169_e	acgam_e
ser_L_c	ps141_c
MGlcn175_e	acgam_e
MGlcn164_rl_e	MGlcn186_rl_e
coa_c	h2o_c
btcoa_c	fdxox_c
gly_c	thf_c
atp_c	uaaAgtla_c
asn_L_c	ppi_c
h2o_c	2dda7p_c
glygln_e	adp_c
asp_L_c	asn_L_c
ohpb_c	phthr_c
diglcpgai17_c	ai17tca1_c
4abz_c	dhpt_c
h2o_c	2dhp_c
MGlcn71_e	gal_e
pydam_e	pydam_c
h2o_c	nicrns_c
12m3omyrsACP_c	nadp_c
h_c	8m3hnonACP_c
g3pc_c	h_c
h_c	13m3omyrsACP_c
trp_L_c	h_c
glu_L_c	apoACP_c
MGlcn107_rl_e	gal_e
paai17_c	cdpdaihpdecg_c
glu_L_c	h_e
pant_R_c	amp_c
