MGlcn65_rl_e	MGlcn100_rl_e
MGlcn138_rl_e	fuc_L_e
dcmp_c	dcyt_c
MGlcn74_rl_e	MGlcn141_rl_e
s17bp_c	dhap_c
4mpentACP_c	ACP_c
MGlcn147_rl_e	f1a_rl_e
raffin_e	raffin_c
cys_L_c	tsul_c
MGlcn16_rl_e	acgam_e
so4_c	so4_e
nadh_c	hexACP_c
so4_c	apoACP_c
MGlcn127_rl_e	acnam_e
nadh_c	udpg_c
so4_c	h_e
atp_c	pa140_c
MGlcn5_rl_e	acnam_e
zn2_c	biomass_c
nadp_c	34hpp_c
g3p_c	h_c
amp_c	dadp_c
3hpalmACP_c	nadph_c
uacgam_c	acmana_c
MGlcn188_e	MGlcn186_e
dgtp_c	pi_c
nicrnt_c	dnad_c
MGlcn157_rl_e	gal_e
tyr_L_c	biomass_c
h2o_c	4r5au_c
h_c	fad_c
adcobhex_c	adocbip_c
MGlcn120_e	acnam_e
udp_c	myrstca1_c
h_c	ddcaACP_c
h_c	agdpcbi_c
4m3ohexACP_c	nadp_c
MGlcn75_e	MGlcn25_e
4abut_c	h_e
h2o_e	MGlcn64_rl_e
h2o_e	MGlcn164_e
3ogACPm_c	3hgACPm_c
MGlcn195_e	MGlcn22_e
5m3ohexACP_c	nadp_c
dhor_S_c	q8h2_c
dhlpro_c	h_c
cl_c	ppi_c
h_c	ptrc_c
dhlam_c	h_c
h2o_e	MGlcn79_rl_e
arab_L_c	arab_L_e
MGlcn18_rl_e	acgam_e
MGlcn42_rl_e	fuc_L_e
ocdcaACP_c	pa180_c
butpi_c	btcoa_c
udpg_c	gicolipa_c
MGlcn196_e	gal_e
MGlcn47_rl_e	MGlcn26_rl_e
sT_antigen_rl_e	acnam_e
co2_c	pyr_c
din_e	h_c
12m3otridecACP_c	12m3htridecACP_c
nadp_c	trdox_c
nadp_c	gln_L_c
MGlcn31_rl_e	gal_e
asp_L_c	oaa_c
val_L_c	nh4_c
gln_L_c	pyr_c
i16tcaglc_c	i16tca1_c
nadp_c	l2a6o_c
accoa_c	n8aspmd_c
nadh_c	4per_c
MGlcn149_e	acgam_e
fa6_c	ihdcoa_c
glu5sa_c	nadph_c
h_c	5forthf_c
h_c	applp_c
dtdp_c	amp_c
MGlcn21_e	gal_e
pro_L_c	h_c
MGlcn68_rl_e	MGlcn177_rl_e
cbi_c	pppi_c
glu_L_c	trp_L_c
h2o_c	2obut_c
h2o_e	MGlcn111_rl_e
glu_D_c	glu_L_c
PGP_c	apoACP_c
MGlcn128_e	fuc_L_e
